attribute,value
BECK,"(-inf, 0.5>"
BECK,"(0.5, 8.2>"
BECK,"(8.2, 11.5>"
BECK,"(11.5, 12.0>"
BECK,"(12.0, 15.5>"
BECK,"(15.5, 36.375>"
BECK,"(36.375, 36.9>"
BECK,"(36.9, 37.5>"
BECK,"(37.5, 40.5>"
BECK,"(40.5, 44.0>"
BECK,"(44.0, 45.9>"
BECK,"(45.9, 48.5>"
BECK,"(48.5, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
FRAC,"(-inf, 0.1277775>"
FRAC,"(0.1277775, 0.3416665>"
FRAC,"(0.3416665, 0.4166665>"
FRAC,"(0.4166665, 0.44999999999999996>"
FRAC,"(0.44999999999999996, 0.566667>"
FRAC,"(0.566667, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.8083335>"
FRAC,"(0.8083335, inf)"
HC,"(-inf, 3.5>"
HC,"(3.5, inf)"
AGE,"(-inf, 21.5>"
AGE,"(21.5, 22.5>"
AGE,"(22.5, 23.0>"
AGE,"(23.0, 42.0>"
AGE,"(42.0, 45.5>"
AGE,"(45.5, inf)"
ND2,"(-inf, 0.361679>"
ND2,"(0.361679, 0.3664195>"
ND2,"(0.3664195, inf)"
