((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure8, (SensorMeasure8, (-inf, 2211.815>) -> (SensorMeasure8, (2318.875, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.325>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1349.645>) -> (SensorMeasure3, (1479.555, 1573.6399999999999>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure13, (SensorMeasure13, (2387.325, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure11, (SensorMeasure11, (41.96, 44.295>) -> (SensorMeasure11, (44.295, 47.22>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (2387.325, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure2, (SensorMeasure2, (604.52, 642.34>) -> (SensorMeasure2, (604.52, 642.34>)) AND (SensorMeasure3, (SensorMeasure3, (1479.555, 1573.6399999999999>) -> (SensorMeasure3, (1479.555, 1573.6399999999999>)) AND (SensorMeasure8, (SensorMeasure8, (2318.875, inf)) -> (SensorMeasure8, (2318.875, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 41.96>) -> (SensorMeasure11, (44.295, 47.22>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure8, (SensorMeasure8, (-inf, 2211.815>) -> (SensorMeasure8, (2318.875, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.325>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 537.115>) -> (SensorMeasure2, (604.52, 642.34>)) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1349.645>) -> (SensorMeasure3, (1479.555, 1573.6399999999999>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8075.75>) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (2387.325, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure2, (SensorMeasure2, (549.4200000000001, 604.52>) -> (SensorMeasure2, (604.52, 642.34>)) AND (SensorMeasure3, (SensorMeasure3, (1349.645, 1477.9899999999998>) -> (SensorMeasure3, (1479.555, 1573.6399999999999>)) AND (SensorMeasure8, (SensorMeasure8, (2211.815, 2318.875>) -> (SensorMeasure8, (2318.875, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.735000000001, inf)) -> (SensorMeasure14, (8075.75, 8081.785>)))
((SensorMeasure13, (SensorMeasure13, (2387.325, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 41.96>) -> (SensorMeasure11, (44.295, 47.22>)))
