((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (7.57, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (7.57, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((age, (age, (17.0, 55.5>) -> (age, (17.0, 55.5>)) AND (thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.315>)))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (7.57, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (1.315, 1.8599999999999999>) -> (thick, (3.38, 7.57>)) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, 7.57>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
