attribute,value
SensorMeasure6,"(-inf, 5.715>"
SensorMeasure6,"(5.715, inf)"
SensorMeasure4,"(-inf, 1127.825>"
SensorMeasure4,"(1127.825, 1127.985>"
SensorMeasure4,"(1127.985, 1132.05>"
SensorMeasure4,"(1132.05, 1239.9850000000001>"
SensorMeasure4,"(1239.9850000000001, 1248.875>"
SensorMeasure4,"(1248.875, 1252.135>"
SensorMeasure4,"(1252.135, inf)"
SensorMeasure14,"(-inf, 8064.925>"
SensorMeasure14,"(8064.925, 8064.99>"
SensorMeasure14,"(8064.99, inf)"
SensorMeasure12,"(-inf, 147.51>"
SensorMeasure12,"(147.51, 164.975>"
SensorMeasure12,"(164.975, 521.355>"
SensorMeasure12,"(521.355, inf)"
SensorMeasure7,"(-inf, 138.485>"
SensorMeasure7,"(138.485, 335.1>"
SensorMeasure7,"(335.1, inf)"
SensorMeasure13,"(-inf, 2028.085>"
SensorMeasure13,"(2028.085, 2028.3049999999998>"
SensorMeasure13,"(2028.3049999999998, 2388.045>"
SensorMeasure13,"(2388.045, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, 2388.115>"
SensorMeasure13,"(2388.115, 2388.165>"
SensorMeasure13,"(2388.165, inf)"
SensorMeasure11,"(-inf, 41.785>"
SensorMeasure11,"(41.785, 42.175>"
SensorMeasure11,"(42.175, inf)"
SensorMeasure20,"(-inf, 10.725000000000001>"
SensorMeasure20,"(10.725000000000001, 14.92>"
SensorMeasure20,"(14.92, 14.97>"
SensorMeasure20,"(14.97, 24.645>"
SensorMeasure20,"(24.645, inf)"
SensorMeasure15,"(-inf, 9.26385>"
SensorMeasure15,"(9.26385, inf)"
SensorMeasure3,"(-inf, 1352.8600000000001>"
SensorMeasure3,"(1352.8600000000001, 1480.375>"
SensorMeasure3,"(1480.375, inf)"
SensorMeasure2,"(-inf, 549.235>"
SensorMeasure2,"(549.235, 643.02>"
SensorMeasure2,"(643.02, inf)"
OpSet2,"(-inf, 0.00045>"
OpSet2,"(0.00045, inf)"
