((priorzdv, (priorzdv, (11.5, 39.5>) -> (priorzdv, (6.5, 7.5>)))
((age, (age, (32.5, 45.5>) -> (age, (25.5, 27.5>)))
((priorzdv, (priorzdv, (11.5, 39.5>) -> (priorzdv, (6.5, 7.5>)) AND (cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, inf))))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (-inf, 2.0>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 45.5>) -> (age, (54.5, 57.0>)))
((priorzdv, (priorzdv, (11.5, 39.5>) -> (priorzdv, (6.5, 7.5>)))
((age, (age, (32.5, 45.5>) -> (age, (54.5, 57.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (29.5, 30.5>) -> (age, (25.5, 27.5>)))
((age, (age, (29.5, 30.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 45.5>) -> (age, (25.5, 27.5>)))
((age, (age, (25.5, 27.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (-inf, 2.0>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (45.5, 54.5>) -> (age, (54.5, 57.0>)))
((age, (age, (22.5, 25.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 45.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (11.5, 39.5>) -> (priorzdv, (6.5, 7.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((karnof, (karnof, (75.0, 85.0>) -> (karnof, (-inf, 75.0>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 27.5>)))
((age, (age, (29.5, 30.5>) -> (age, (25.5, 27.5>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((age, (age, (32.5, 45.5>) -> (age, (25.5, 27.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (-inf, 2.0>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (-inf, 75.0>)))
((age, (age, (29.5, 30.5>) -> (age, (54.5, 57.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((tx, (tx, (-inf, 0.5>) -> (tx, (0.5, inf))) AND (cd4, (cd4, (78.25, 85.75>) -> (cd4, (85.75, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (32.5, 45.5>) -> (age, (54.5, 57.0>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (-inf, 2.0>)) AND (karnof, (karnof, (75.0, 85.0>) -> (karnof, (-inf, 75.0>)))
