id,left,right
0,455,51
1,588,29
2,18,23
3,487,30
4,1004,32
5,415,23
6,91,29
7,1004,32
8,588,22
9,455,51
10,588,22
11,1004,32
12,34,29
13,34,29
14,1004,32
15,588,29
16,29,29
17,1004,32
18,415,23
19,1004,32
20,141,22
21,23,29
22,1004,32
23,1004,32
24,588,29
25,1004,32
26,455,51
27,1004,32
28,353,30
29,166,30
30,487,30
31,1004,32
32,1004,32
33,353,30
34,91,29
35,34,29
36,487,30
37,1004,32
38,353,30
39,588,29
40,1004,32
41,302,23
42,34,22
43,1004,32
44,17,242
45,1004,32
46,588,22
47,134,23
48,487,30
49,141,22
50,1004,32
51,23,29
52,1004,32
53,1004,32
54,1004,32
55,109,51
56,179,20
57,1004,32
58,1004,32
59,588,22
60,353,30
61,1004,32
62,204,51
63,109,51
64,134,23
65,588,22
66,1004,32
67,1004,32
68,37,51
69,23,29
70,72,23
71,455,51
72,588,29
73,23,22
74,487,30
75,1004,32
76,487,30
77,1004,32
78,1004,32
79,1004,32
80,455,51
81,32,23
82,1004,32
83,353,30
84,302,23
85,1004,32
86,32,22
87,588,22
88,302,23
89,353,30
90,1004,32
91,8,20
92,487,30
93,588,29
94,487,30
95,455,51
96,95,242
97,72,23
98,1004,32
99,588,29
100,588,22
101,353,30
102,19,29
103,58,23
104,353,30
105,1004,32
106,588,22
107,1004,32
108,32,29
109,415,23
110,204,51
111,91,22
112,353,30
113,487,30
114,353,30
