time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
41.0, 0.994681, 0.972222, 1.000000, 0.970149, 1.000000, 0.979381, 1.000000, 0.984252, 1.000000, 0.985507, 1.000000, 1.000000, 0.975610, 
71.0, 0.992021, 0.944444, 1.000000, 0.955224, 1.000000, 0.969072, 1.000000, 0.976378, 1.000000, 0.978261, 1.000000, 1.000000, 0.951220, 
94.0, 0.989362, 0.916667, 1.000000, 0.940299, 1.000000, 0.958763, 1.000000, 0.968504, 1.000000, 0.971014, 1.000000, 1.000000, 0.951220, 
110.0, 0.986702, 0.916667, 1.000000, 0.925373, 1.000000, 0.948454, 1.000000, 0.960630, 1.000000, 0.963768, 1.000000, 1.000000, 0.951220, 
111.0, 0.984043, 0.888889, 1.000000, 0.910448, 1.000000, 0.938144, 1.000000, 0.952756, 1.000000, 0.956522, 1.000000, 1.000000, 0.926829, 
130.0, 0.981383, 0.861111, 1.000000, 0.895522, 1.000000, 0.927835, 1.000000, 0.944882, 1.000000, 0.949275, 1.000000, 1.000000, 0.902439, 
131.0, 0.978723, 0.833333, 1.000000, 0.880597, 1.000000, 0.917526, 1.000000, 0.937008, 1.000000, 0.942029, 1.000000, 1.000000, 0.878049, 
140.0, 0.976064, 0.805556, 1.000000, 0.865672, 1.000000, 0.907216, 1.000000, 0.929134, 1.000000, 0.934783, 1.000000, 1.000000, 0.878049, 
179.0, 0.973404, 0.777778, 1.000000, 0.850746, 1.000000, 0.896907, 1.000000, 0.921260, 1.000000, 0.927536, 1.000000, 1.000000, 0.853659, 
186.0, 0.970745, 0.750000, 1.000000, 0.835821, 1.000000, 0.886598, 1.000000, 0.913386, 1.000000, 0.920290, 1.000000, 1.000000, 0.853659, 
191.0, 0.968085, 0.750000, 1.000000, 0.835821, 1.000000, 0.886598, 1.000000, 0.913386, 1.000000, 0.920290, 1.000000, 1.000000, 0.853659, 
198.0, 0.965426, 0.750000, 1.000000, 0.835821, 1.000000, 0.886598, 0.995074, 0.913386, 0.994709, 0.920290, 0.995098, 0.994413, 0.853659, 
207.0, 0.962766, 0.722222, 1.000000, 0.820896, 1.000000, 0.876289, 0.995074, 0.905512, 0.994709, 0.913043, 0.995098, 0.994413, 0.853659, 
216.0, 0.960106, 0.694444, 1.000000, 0.805970, 1.000000, 0.865979, 0.995074, 0.897638, 0.994709, 0.905797, 0.995098, 0.994413, 0.829268, 
221.0, 0.957447, 0.666667, 1.000000, 0.791045, 1.000000, 0.855670, 0.995074, 0.889764, 0.994709, 0.898551, 0.995098, 0.994413, 0.804878, 
223.0, 0.954787, 0.638889, 1.000000, 0.776119, 1.000000, 0.845361, 0.995074, 0.881890, 0.994709, 0.891304, 0.995098, 0.994413, 0.780488, 
264.0, 0.949468, 0.583333, 1.000000, 0.746269, 1.000000, 0.824742, 0.995074, 0.866142, 0.994709, 0.876812, 0.995098, 0.994413, 0.731707, 
321.0, 0.946809, 0.583333, 1.000000, 0.746269, 1.000000, 0.814433, 0.995074, 0.858268, 0.994709, 0.869565, 0.995098, 0.994413, 0.731707, 
326.0, 0.944149, 0.555556, 1.000000, 0.731343, 1.000000, 0.804124, 0.995074, 0.850394, 0.994709, 0.862319, 0.995098, 0.994413, 0.707317, 
348.0, 0.941489, 0.527778, 1.000000, 0.716418, 1.000000, 0.793814, 0.995074, 0.842520, 0.994709, 0.855072, 0.995098, 0.994413, 0.707317, 
359.0, 0.938830, 0.500000, 1.000000, 0.701493, 1.000000, 0.783505, 0.995074, 0.834646, 0.994709, 0.847826, 0.995098, 0.994413, 0.707317, 
388.0, 0.936170, 0.500000, 1.000000, 0.701493, 1.000000, 0.783505, 0.995074, 0.834646, 0.994709, 0.847826, 0.995098, 0.994413, 0.707317, 
