time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, 
0.002738, 0.956879, 0.977528, 0.905512, 0.967213, 0.905512, 0.968153, 0.905512, 0.974874, 0.905512, 0.978632, 0.905512, 0.727273, 0.979167, 0.901639, 0.977528, 0.927152, 0.977528, 0.929730, 0.977528, 0.928251, 0.977528, 
0.150582, 0.954825, 0.966292, 0.905512, 0.959016, 0.905512, 0.961783, 0.905512, 0.969849, 0.905512, 0.974359, 0.905512, 0.727273, 0.968750, 0.901639, 0.966292, 0.927152, 0.966292, 0.929730, 0.966292, 0.928251, 0.966292, 
0.186174, 0.952772, 0.966292, 0.905512, 0.959016, 0.905512, 0.961783, 0.905512, 0.969849, 0.905512, 0.974359, 0.905512, 0.727273, 0.968750, 0.901639, 0.966292, 0.927152, 0.966292, 0.924324, 0.966292, 0.923767, 0.966292, 
0.199863, 0.950719, 0.966292, 0.905512, 0.959016, 0.905512, 0.955414, 0.905512, 0.964824, 0.905512, 0.970085, 0.905512, 0.727273, 0.968750, 0.901639, 0.966292, 0.927152, 0.966292, 0.924324, 0.966292, 0.923767, 0.966292, 
0.238193, 0.946612, 0.966292, 0.897638, 0.959016, 0.897638, 0.955414, 0.897638, 0.964824, 0.897638, 0.965812, 0.897638, 0.696970, 0.968750, 0.893443, 0.966292, 0.920530, 0.966292, 0.918919, 0.966292, 0.919283, 0.966292, 
0.240931, 0.944559, 0.966292, 0.897638, 0.959016, 0.897638, 0.955414, 0.897638, 0.964824, 0.897638, 0.965812, 0.897638, 0.696970, 0.968750, 0.893443, 0.966292, 0.920530, 0.966292, 0.913514, 0.966292, 0.914798, 0.966292, 
0.303901, 0.942505, 0.966292, 0.889764, 0.959016, 0.889764, 0.955414, 0.889764, 0.964824, 0.889764, 0.965812, 0.889764, 0.666667, 0.968750, 0.885246, 0.966292, 0.913907, 0.966292, 0.908108, 0.966292, 0.910314, 0.966292, 
0.33128, 0.940452, 0.966292, 0.881890, 0.959016, 0.881890, 0.955414, 0.881890, 0.964824, 0.881890, 0.965812, 0.881890, 0.636364, 0.968750, 0.877049, 0.966292, 0.907285, 0.966292, 0.902703, 0.966292, 0.905830, 0.966292, 
0.344969, 0.938398, 0.966292, 0.881890, 0.959016, 0.881890, 0.955414, 0.881890, 0.964824, 0.881890, 0.965812, 0.881890, 0.636364, 0.968750, 0.877049, 0.966292, 0.907285, 0.966292, 0.902703, 0.966292, 0.905830, 0.966292, 
0.350445, 0.936345, 0.966292, 0.874016, 0.959016, 0.874016, 0.955414, 0.874016, 0.964824, 0.874016, 0.965812, 0.874016, 0.636364, 0.968750, 0.868852, 0.966292, 0.900662, 0.966292, 0.897297, 0.966292, 0.901345, 0.966292, 
