((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-inf, -3.0>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (41.5, 42.5>) -> (agepill, (42.5, 46.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (1.7272729999999998, inf)) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (41.5, 42.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, -1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Male}) -> (sex, {Female})))
((agepill, (agepill, (51.5, 53.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
