time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, 
1.0, 0.999035, 1.000000, 1.000000, 0.983607, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.993007, 1.000000, 0.989362, 1.000000, 0.994681, 1.000000, 0.994872, 1.000000, 0.990196, 1.000000, 0.995146, 1.000000, 0.996815, 1.000000, 0.997230, 1.000000, 0.993056, 1.000000, 0.996047, 1.000000, 0.997732, 1.000000, 1.000000, 0.968750, 0.997763, 1.000000, 1.000000, 1.000000, 
2.0, 0.998069, 1.000000, 1.000000, 0.983607, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.993007, 1.000000, 0.989362, 1.000000, 0.994681, 1.000000, 0.994872, 1.000000, 0.990196, 1.000000, 0.995146, 1.000000, 0.996815, 1.000000, 0.997230, 1.000000, 0.993056, 1.000000, 0.992095, 1.000000, 0.995465, 1.000000, 1.000000, 0.968750, 0.995526, 1.000000, 0.996269, 1.000000, 
3.0, 0.998069, 1.000000, 1.000000, 0.983607, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.993007, 1.000000, 0.989362, 1.000000, 0.994681, 1.000000, 0.994872, 1.000000, 0.990196, 1.000000, 0.995146, 1.000000, 0.996815, 1.000000, 0.997230, 1.000000, 0.993056, 1.000000, 0.992095, 1.000000, 0.995465, 1.000000, 1.000000, 0.968750, 0.995526, 1.000000, 0.996269, 1.000000, 
4.0, 0.998069, 1.000000, 1.000000, 0.983607, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.993007, 1.000000, 0.989362, 1.000000, 0.994681, 1.000000, 0.994872, 1.000000, 0.990196, 1.000000, 0.995146, 1.000000, 0.996815, 1.000000, 0.997230, 1.000000, 0.993056, 1.000000, 0.992095, 1.000000, 0.995465, 1.000000, 1.000000, 0.968750, 0.995526, 1.000000, 0.996269, 1.000000, 
7.0, 0.995162, 1.000000, 1.000000, 0.983607, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.993007, 1.000000, 0.989362, 1.000000, 0.994681, 1.000000, 0.994872, 1.000000, 0.980392, 1.000000, 0.985437, 1.000000, 0.993620, 1.000000, 0.991674, 1.000000, 0.993056, 1.000000, 0.988142, 1.000000, 0.990919, 1.000000, 1.000000, 0.968750, 0.991041, 1.000000, 0.996269, 1.000000, 
9.0, 0.994193, 1.000000, 1.000000, 0.967213, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.986014, 1.000000, 0.978723, 1.000000, 0.989333, 1.000000, 0.989744, 1.000000, 0.970588, 1.000000, 0.985437, 1.000000, 0.990425, 1.000000, 0.988897, 1.000000, 0.986111, 1.000000, 0.984190, 1.000000, 0.988647, 1.000000, 1.000000, 0.968750, 0.988799, 1.000000, 0.996269, 1.000000, 
10.0, 0.994193, 1.000000, 1.000000, 0.967213, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.986014, 1.000000, 0.978723, 1.000000, 0.989333, 1.000000, 0.989744, 1.000000, 0.970588, 1.000000, 0.985437, 1.000000, 0.990425, 1.000000, 0.988897, 1.000000, 0.986111, 1.000000, 0.984190, 1.000000, 0.988647, 1.000000, 1.000000, 0.968750, 0.988799, 1.000000, 0.996269, 1.000000, 
11.0, 0.994193, 1.000000, 1.000000, 0.967213, 1.000000, 0.984615, 1.000000, 0.989583, 1.000000, 0.986014, 1.000000, 0.978723, 1.000000, 0.989333, 1.000000, 0.989744, 1.000000, 0.970588, 1.000000, 0.985437, 1.000000, 0.990425, 1.000000, 0.988897, 1.000000, 0.986111, 1.000000, 0.984190, 1.000000, 0.988647, 1.000000, 1.000000, 0.968750, 0.988799, 1.000000, 0.996269, 1.000000, 
13.0, 0.992251, 1.000000, 0.997831, 0.967213, 0.997831, 0.984615, 0.997831, 0.989583, 0.997831, 0.986014, 0.997886, 0.978723, 0.997904, 0.989333, 0.997831, 0.989744, 0.997886, 0.970588, 0.997904, 0.985437, 0.997886, 0.990425, 0.997831, 0.988897, 0.997904, 0.979117, 0.997886, 0.984190, 0.997821, 0.986369, 0.997904, 0.997942, 0.968750, 0.986552, 0.997821, 0.992523, 1.000000, 
14.0, 0.989338, 0.966667, 0.997831, 0.950537, 0.997831, 0.969231, 0.997831, 0.968528, 0.997831, 0.971928, 0.997886, 0.967968, 0.997904, 0.978579, 0.997831, 0.974279, 0.997886, 0.960684, 0.997904, 0.975680, 0.997886, 0.980810, 0.997831, 0.980540, 0.997904, 0.972124, 0.997886, 0.976253, 0.997821, 0.979535, 0.997904, 0.997942, 0.968750, 0.979810, 0.997821, 0.992523, 1.000000, 
16.0, 0.988367, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.958001, 0.997831, 0.964885, 0.997886, 0.957213, 0.997904, 0.973203, 0.997831, 0.969124, 0.997886, 0.950780, 0.997904, 0.970802, 0.997886, 0.977604, 0.997831, 0.977754, 0.997904, 0.965130, 0.997886, 0.972284, 0.997821, 0.977257, 0.997904, 0.997942, 0.937500, 0.977563, 0.997821, 0.992523, 1.000000, 
17.0, 0.988367, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.958001, 0.997831, 0.964885, 0.997886, 0.957213, 0.997904, 0.973203, 0.997831, 0.969124, 0.997886, 0.950780, 0.997904, 0.970802, 0.997886, 0.977604, 0.997831, 0.977754, 0.997904, 0.965130, 0.997886, 0.972284, 0.997821, 0.977257, 0.997904, 0.997942, 0.937500, 0.977563, 0.997821, 0.992523, 1.000000, 
18.0, 0.987394, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.958001, 0.997831, 0.964885, 0.997886, 0.957213, 0.997904, 0.973203, 0.997831, 0.969124, 0.997886, 0.950780, 0.997904, 0.970802, 0.997886, 0.974399, 0.997831, 0.974968, 0.997904, 0.965130, 0.997886, 0.972284, 0.997821, 0.974979, 0.997904, 0.997942, 0.937500, 0.977563, 0.997821, 0.992523, 1.000000, 
19.0, 0.987394, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.958001, 0.997831, 0.964885, 0.997886, 0.957213, 0.997904, 0.973203, 0.997831, 0.969124, 0.997886, 0.950780, 0.997904, 0.970802, 0.997886, 0.974399, 0.997831, 0.974968, 0.997904, 0.965130, 0.997886, 0.972284, 0.997821, 0.974979, 0.997904, 0.997942, 0.937500, 0.977563, 0.997821, 0.992523, 1.000000, 
20.0, 0.985447, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.947473, 0.997831, 0.957842, 0.997886, 0.957213, 0.997904, 0.967826, 0.997831, 0.963969, 0.997886, 0.950780, 0.997904, 0.965923, 0.997886, 0.971194, 0.997831, 0.972183, 0.997904, 0.958136, 0.997886, 0.968316, 0.997821, 0.972701, 0.997904, 0.997942, 0.937500, 0.973068, 0.997821, 0.988764, 1.000000, 
24.0, 0.984473, 0.933333, 0.997831, 0.933861, 0.997831, 0.953846, 0.997831, 0.947473, 0.997831, 0.957842, 0.997886, 0.957213, 0.997904, 0.967826, 0.997831, 0.963969, 0.997886, 0.950780, 0.997904, 0.965923, 0.997886, 0.971194, 0.997831, 0.969397, 0.997904, 0.951143, 0.997886, 0.968316, 0.997821, 0.970423, 0.997904, 0.997942, 0.937500, 0.970821, 0.997821, 0.988764, 1.000000, 
25.0, 0.982526, 0.933333, 0.997831, 0.933861, 0.997831, 0.938462, 0.997831, 0.936946, 0.997831, 0.950799, 0.997886, 0.957213, 0.997904, 0.962449, 0.997831, 0.958814, 0.997886, 0.950780, 0.997904, 0.965923, 0.997886, 0.967989, 0.997831, 0.966612, 0.997904, 0.951143, 0.997886, 0.964347, 0.997821, 0.968145, 0.997904, 0.997942, 0.937500, 0.968574, 0.997821, 0.985004, 1.000000, 
26.0, 0.981550, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.964773, 0.997831, 0.963818, 0.997904, 0.944097, 0.997886, 0.960379, 0.997821, 0.965861, 0.997904, 0.997942, 0.906250, 0.966321, 0.997821, 0.985004, 1.000000, 
27.0, 0.981550, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.964773, 0.997831, 0.963818, 0.997904, 0.944097, 0.997886, 0.960379, 0.997821, 0.965861, 0.997904, 0.997942, 0.906250, 0.966321, 0.997821, 0.985004, 1.000000, 
35.0, 0.980573, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.964773, 0.997831, 0.961016, 0.997904, 0.944097, 0.997886, 0.956394, 0.997821, 0.963573, 0.997904, 0.997942, 0.906250, 0.964064, 0.997821, 0.985004, 1.000000, 
38.0, 0.980573, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.964773, 0.997831, 0.961016, 0.997904, 0.944097, 0.997886, 0.956394, 0.997821, 0.963573, 0.997904, 0.997942, 0.906250, 0.964064, 0.997821, 0.985004, 1.000000, 
39.0, 0.979595, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.961546, 0.997831, 0.958214, 0.997904, 0.944097, 0.997886, 0.956394, 0.997821, 0.961284, 0.997904, 0.997942, 0.906250, 0.961806, 0.997821, 0.985004, 1.000000, 
40.0, 0.979595, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.961546, 0.997831, 0.958214, 0.997904, 0.944097, 0.997886, 0.956394, 0.997821, 0.961284, 0.997904, 0.997942, 0.906250, 0.961806, 0.997821, 0.985004, 1.000000, 
41.0, 0.979595, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.940876, 0.997904, 0.961045, 0.997886, 0.961546, 0.997831, 0.958214, 0.997904, 0.944097, 0.997886, 0.956394, 0.997821, 0.961284, 0.997904, 0.997942, 0.906250, 0.961806, 0.997821, 0.985004, 1.000000, 
42.0, 0.978610, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.930867, 0.997904, 0.956116, 0.997886, 0.958287, 0.997831, 0.955388, 0.997904, 0.944097, 0.997886, 0.952392, 0.997821, 0.958979, 0.997904, 0.997942, 0.906250, 0.959532, 0.997821, 0.985004, 1.000000, 
44.0, 0.977625, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.943756, 0.997886, 0.946458, 0.997904, 0.957042, 0.997831, 0.953659, 0.997886, 0.930867, 0.997904, 0.956116, 0.997886, 0.958287, 0.997831, 0.955388, 0.997904, 0.944097, 0.997886, 0.952392, 0.997821, 0.958979, 0.997904, 0.997942, 0.906250, 0.959532, 0.997821, 0.981201, 1.000000, 
46.0, 0.975654, 0.900000, 0.997831, 0.917185, 0.997831, 0.923077, 0.997831, 0.926418, 0.997831, 0.936607, 0.997886, 0.935579, 0.997904, 0.951510, 0.997831, 0.943179, 0.997886, 0.920858, 0.997904, 0.946260, 0.997886, 0.951768, 0.997831, 0.949734, 0.997904, 0.944097, 0.997886, 0.948390, 0.997821, 0.954368, 0.997904, 0.997942, 0.906250, 0.954984, 0.997821, 0.981201, 1.000000, 
47.0, 0.974666, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.935579, 0.997904, 0.945913, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.948486, 0.997831, 0.946891, 0.997904, 0.944097, 0.997886, 0.944372, 0.997821, 0.952052, 0.997904, 0.997942, 0.906250, 0.952700, 0.997821, 0.981201, 1.000000, 
49.0, 0.974666, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.935579, 0.997904, 0.945913, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.948486, 0.997831, 0.946891, 0.997904, 0.944097, 0.997886, 0.944372, 0.997821, 0.952052, 0.997904, 0.997942, 0.906250, 0.952700, 0.997821, 0.981201, 1.000000, 
52.0, 0.973674, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.924572, 0.997904, 0.940316, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.945204, 0.997831, 0.944022, 0.997904, 0.936890, 0.997886, 0.940336, 0.997821, 0.949718, 0.997904, 0.997942, 0.906250, 0.950404, 0.997821, 0.981201, 1.000000, 
53.0, 0.973674, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.924572, 0.997904, 0.940316, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.945204, 0.997831, 0.944022, 0.997904, 0.936890, 0.997886, 0.940336, 0.997821, 0.949718, 0.997904, 0.997942, 0.906250, 0.950404, 0.997821, 0.981201, 1.000000, 
54.0, 0.973674, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.924572, 0.997904, 0.940316, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.945204, 0.997831, 0.944022, 0.997904, 0.936890, 0.997886, 0.940336, 0.997821, 0.949718, 0.997904, 0.997942, 0.906250, 0.950404, 0.997821, 0.981201, 1.000000, 
55.0, 0.973674, 0.900000, 0.997831, 0.917185, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.929346, 0.997886, 0.924572, 0.997904, 0.940316, 0.997831, 0.937881, 0.997886, 0.920858, 0.997904, 0.941279, 0.997886, 0.945204, 0.997831, 0.944022, 0.997904, 0.936890, 0.997886, 0.940336, 0.997821, 0.949718, 0.997904, 0.997942, 0.906250, 0.950404, 0.997821, 0.981201, 1.000000, 
56.0, 0.972675, 0.900000, 0.997831, 0.899879, 0.997831, 0.907162, 0.997831, 0.915519, 0.997831, 0.922086, 0.997886, 0.913565, 0.997904, 0.934719, 0.997831, 0.932552, 0.997886, 0.910738, 0.997904, 0.936272, 0.997886, 0.941922, 0.997831, 0.941152, 0.997904, 0.929683, 0.997886, 0.940336, 0.997821, 0.947379, 0.997904, 0.997942, 0.906250, 0.948097, 0.997821, 0.981201, 1.000000, 
58.0, 0.971675, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.913565, 0.997904, 0.929088, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.938628, 0.997831, 0.938274, 0.997904, 0.929683, 0.997886, 0.936283, 0.997821, 0.945034, 0.997904, 0.997942, 0.906250, 0.945785, 0.997821, 0.981201, 1.000000, 
59.0, 0.971675, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.913565, 0.997904, 0.929088, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.938628, 0.997831, 0.938274, 0.997904, 0.929683, 0.997886, 0.936283, 0.997821, 0.945034, 0.997904, 0.997942, 0.906250, 0.945785, 0.997821, 0.981201, 1.000000, 
60.0, 0.971675, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.913565, 0.997904, 0.929088, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.938628, 0.997831, 0.938274, 0.997904, 0.929683, 0.997886, 0.936283, 0.997821, 0.945034, 0.997904, 0.997942, 0.906250, 0.945785, 0.997821, 0.981201, 1.000000, 
61.0, 0.970672, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.902559, 0.997904, 0.923457, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.935335, 0.997831, 0.935396, 0.997904, 0.922477, 0.997886, 0.932212, 0.997821, 0.942683, 0.997904, 0.997942, 0.906250, 0.943461, 0.997821, 0.981201, 1.000000, 
62.0, 0.970672, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.902559, 0.997904, 0.923457, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.935335, 0.997831, 0.935396, 0.997904, 0.922477, 0.997886, 0.932212, 0.997821, 0.942683, 0.997904, 0.997942, 0.906250, 0.943461, 0.997821, 0.981201, 1.000000, 
63.0, 0.970672, 0.900000, 0.997831, 0.899879, 0.997831, 0.891247, 0.997831, 0.904489, 0.997831, 0.914767, 0.997886, 0.902559, 0.997904, 0.923457, 0.997831, 0.927192, 0.997886, 0.910738, 0.997904, 0.931239, 0.997886, 0.935335, 0.997831, 0.935396, 0.997904, 0.922477, 0.997886, 0.932212, 0.997821, 0.942683, 0.997904, 0.997942, 0.906250, 0.943461, 0.997821, 0.981201, 1.000000, 
64.0, 0.969668, 0.865385, 0.997831, 0.882574, 0.997831, 0.875332, 0.997831, 0.893459, 0.997831, 0.907449, 0.997886, 0.891552, 0.997904, 0.917826, 0.997831, 0.921833, 0.997886, 0.900619, 0.997904, 0.926205, 0.997886, 0.932030, 0.997831, 0.932509, 0.997904, 0.915213, 0.997886, 0.928141, 0.997821, 0.940326, 0.997904, 0.997942, 0.906250, 0.941126, 0.997821, 0.981201, 1.000000, 
65.0, 0.968663, 0.865385, 0.997831, 0.882574, 0.997831, 0.859416, 0.997831, 0.882428, 0.997831, 0.900131, 0.997886, 0.891552, 0.997904, 0.912195, 0.997831, 0.916473, 0.997886, 0.900619, 0.997904, 0.921171, 0.997886, 0.928725, 0.997831, 0.929622, 0.997904, 0.915213, 0.997886, 0.924070, 0.997821, 0.937970, 0.997904, 0.997942, 0.906250, 0.938790, 0.997821, 0.981201, 1.000000, 
66.0, 0.968663, 0.865385, 0.997831, 0.882574, 0.997831, 0.859416, 0.997831, 0.882428, 0.997831, 0.900131, 0.997886, 0.891552, 0.997904, 0.912195, 0.997831, 0.916473, 0.997886, 0.900619, 0.997904, 0.921171, 0.997886, 0.928725, 0.997831, 0.929622, 0.997904, 0.915213, 0.997886, 0.924070, 0.997821, 0.937970, 0.997904, 0.997942, 0.906250, 0.938790, 0.997821, 0.981201, 1.000000, 
67.0, 0.968663, 0.865385, 0.997831, 0.882574, 0.997831, 0.859416, 0.997831, 0.882428, 0.997831, 0.900131, 0.997886, 0.891552, 0.997904, 0.912195, 0.997831, 0.916473, 0.997886, 0.900619, 0.997904, 0.921171, 0.997886, 0.928725, 0.997831, 0.929622, 0.997904, 0.915213, 0.997886, 0.924070, 0.997821, 0.937970, 0.997904, 0.997942, 0.906250, 0.938790, 0.997821, 0.981201, 1.000000, 
68.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
69.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
70.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
73.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
74.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
75.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
76.0, 0.966641, 0.865385, 0.997831, 0.865269, 0.997831, 0.843501, 0.997831, 0.871398, 0.997831, 0.885495, 0.997886, 0.880545, 0.997904, 0.900934, 0.997831, 0.905754, 0.997886, 0.890500, 0.997904, 0.911104, 0.997886, 0.922115, 0.997831, 0.923848, 0.997904, 0.900686, 0.997886, 0.919982, 0.997821, 0.933244, 0.997904, 0.997942, 0.875000, 0.934108, 0.997821, 0.981201, 1.000000, 
77.0, 0.965618, 0.830769, 0.997831, 0.847963, 0.997831, 0.827586, 0.997831, 0.860226, 0.997831, 0.878116, 0.997886, 0.869399, 0.997904, 0.895267, 0.997831, 0.900331, 0.997886, 0.880264, 0.997904, 0.906014, 0.997886, 0.918786, 0.997831, 0.920943, 0.997904, 0.893422, 0.997886, 0.915856, 0.997821, 0.930870, 0.997904, 0.997942, 0.843750, 0.931755, 0.997821, 0.981201, 1.000000, 
80.0, 0.965618, 0.830769, 0.997831, 0.847963, 0.997831, 0.827586, 0.997831, 0.860226, 0.997831, 0.878116, 0.997886, 0.869399, 0.997904, 0.895267, 0.997831, 0.900331, 0.997886, 0.880264, 0.997904, 0.906014, 0.997886, 0.918786, 0.997831, 0.920943, 0.997904, 0.893422, 0.997886, 0.915856, 0.997821, 0.930870, 0.997904, 0.997942, 0.843750, 0.931755, 0.997821, 0.981201, 1.000000, 
81.0, 0.964593, 0.830769, 0.997831, 0.847963, 0.997831, 0.827586, 0.997831, 0.849054, 0.997831, 0.870737, 0.997886, 0.869399, 0.997904, 0.889601, 0.997831, 0.894907, 0.997886, 0.880264, 0.997904, 0.900924, 0.997886, 0.915457, 0.997831, 0.918037, 0.997904, 0.893422, 0.997886, 0.911731, 0.997821, 0.928495, 0.997904, 0.997942, 0.843750, 0.929402, 0.997821, 0.981201, 1.000000, 
82.0, 0.962540, 0.830769, 0.997831, 0.830658, 0.997831, 0.795756, 0.997831, 0.826711, 0.997831, 0.855978, 0.997886, 0.858253, 0.997904, 0.878269, 0.997831, 0.884060, 0.997886, 0.870028, 0.997904, 0.890744, 0.997886, 0.908799, 0.997831, 0.912227, 0.997904, 0.886159, 0.997886, 0.903480, 0.997821, 0.923746, 0.997904, 0.997942, 0.843750, 0.924697, 0.997821, 0.981201, 1.000000, 
84.0, 0.961512, 0.830769, 0.997831, 0.830658, 0.997831, 0.795756, 0.997831, 0.826711, 0.997831, 0.855978, 0.995618, 0.858253, 0.995656, 0.878269, 0.997831, 0.884060, 0.995618, 0.870028, 0.995656, 0.890744, 0.995618, 0.908799, 0.997831, 0.912227, 0.995656, 0.886159, 0.995618, 0.903480, 0.995479, 0.923746, 0.995656, 0.995739, 0.843750, 0.924697, 0.995479, 0.981201, 1.000000, 
85.0, 0.960481, 0.830769, 0.997831, 0.830658, 0.997831, 0.795756, 0.997831, 0.826711, 0.997831, 0.855978, 0.995618, 0.858253, 0.995656, 0.878269, 0.997831, 0.884060, 0.995618, 0.870028, 0.995656, 0.890744, 0.995618, 0.908799, 0.997831, 0.912227, 0.995656, 0.886159, 0.995618, 0.899335, 0.995479, 0.921365, 0.995656, 0.995739, 0.843750, 0.922332, 0.995479, 0.981201, 1.000000, 
