((os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
((yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))) AND (npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)))
