((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (13.649999999999999, 14.3>) -> (hgb, (11.95, 13.649999999999999>)))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.3, 16.35>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((dxyr, (dxyr, (59.5, 61.0>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (13.649999999999999, 14.3>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.3, 16.35>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.3, 16.35>) -> (hgb, (11.95, 13.649999999999999>)))
((alb, (alb, (-inf, 2.8499999999999996>) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 9.95>) -> (hgb, (11.95, 13.649999999999999>)))
((dxyr, (dxyr, (61.0, 66.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((alb, (alb, (2.8499999999999996, inf)) -> (alb, (2.8499999999999996, inf))) AND (age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 9.95>) -> (hgb, (11.95, 13.649999999999999>)))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.95, 13.649999999999999>) -> (hgb, (11.95, 13.649999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (9.95, 11.25>) -> (hgb, (11.95, 13.649999999999999>)))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((creat, (creat, (0.7, inf)) -> (creat, (0.7, inf))) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (66.5, 70.5>) -> (dxyr, (66.5, 70.5>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
