rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 7, 4, 2.8958, 44.6911, 0.0000, 0.0000, 206.0000, 364.0000, -158.0000
r2, 6, 6, 3, 7.4324, 44.6911, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r3, 5, 5, 2, 10.3282, 44.6911, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r4, 5, 5, 2, 13.4170, 44.6911, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r5, 4, 4, 2, 7.0463, 45.3668, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r6, 6, 6, 4, 11.1969, 45.3668, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r7, 5, 5, 3, 21.0425, 45.3668, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r8, 7, 6, 4, 14.2857, 44.1120, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r9, 5, 5, 3, 29.5367, 45.3668, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r10, 3, 3, 1, 15.5405, 45.3668, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r11, 2, 2, 1, 20.5598, 45.6564, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r12, 6, 5, 3, 20.2703, 42.8571, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r13, 4, 3, 1, 36.9691, 44.1120, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r14, 3, 3, 1, 41.3127, 45.3668, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r15, 3, 3, 0, 44.9807, 2.8958, 0.0000, 0.0000, 364.0000, 341.0000, 23.0000
r16, 2, 2, 0, 47.0077, 5.1158, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r17, 2, 2, 1, 47.2008, 45.6564, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r18, 1, 1, 0, 45.9459, 9.3629, 9.3629, 0.0657, 362.0000, 362.0000, 0.0000
