((age, (age, (69.5, 71.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (28.315725, 28.346485>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (19.632635, 25.595425>) -> (bmi, (35.26913999999999, 39.794835>)))
((sysbp, (sysbp, (84.5, 204.0>) -> (sysbp, (84.5, 204.0>)) AND (bmi, (bmi, (28.346485, 33.3566>) -> (bmi, (-inf, 18.822625000000002>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (72.5, 73.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((diasbp, (diasbp, (15.5, 49.0>) -> (diasbp, (103.5, 118.5>)))
((bmi, (bmi, (-inf, 18.822625000000002>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (18.822625000000002, 19.341929999999998>) -> (bmi, (35.26913999999999, 39.794835>)))
((bmi, (bmi, (27.28071, 28.315725>) -> (bmi, (35.26913999999999, 39.794835>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (59.5, 86.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (49.0, 59.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (69.5, 71.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
((age, (age, (73.5, 80.5>) -> (age, (85.5, 96.0>)) AND (diasbp, (diasbp, (94.5, 103.5>) -> (diasbp, (59.5, 86.5>)))
