time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, 
1.0, 0.994444, 1.000000, 0.995575, 0.979592, 1.000000, 1.000000, 0.992806, 0.991453, 0.994792, 1.000000, 0.997275, 0.990881, 1.000000, 0.992593, 1.000000, 0.990291, 1.000000, 0.981818, 1.000000, 0.987805, 0.992481, 0.993007, 1.000000, 0.996721, 0.997669, 0.994845, 0.987952, 0.994318, 1.000000, 0.992806, 1.000000, 
2.0, 0.983333, 0.966667, 0.986726, 0.959184, 1.000000, 0.952381, 0.992806, 0.957265, 0.989583, 0.926829, 0.991826, 0.984802, 0.969697, 0.962963, 0.970588, 0.980583, 0.969697, 0.972727, 1.000000, 0.975610, 0.992481, 0.986014, 1.000000, 0.990164, 0.993007, 0.969072, 0.987952, 0.988636, 0.966667, 0.985612, 0.969697, 
3.0, 0.980000, 0.933333, 0.986726, 0.938776, 1.000000, 0.940476, 0.992806, 0.948718, 0.989583, 0.926829, 0.986376, 0.978723, 0.939394, 0.955556, 0.941176, 0.977346, 0.939394, 0.972727, 1.000000, 0.975610, 0.992481, 0.986014, 1.000000, 0.990164, 0.988345, 0.963918, 0.975904, 0.988636, 0.933333, 0.980815, 0.939394, 
4.0, 0.971111, 0.900000, 0.986726, 0.938776, 1.000000, 0.928571, 0.985612, 0.940171, 0.984375, 0.902439, 0.980926, 0.966565, 0.909091, 0.948148, 0.911765, 0.964401, 0.909091, 0.954545, 1.000000, 0.963415, 0.984962, 0.979021, 0.991453, 0.977049, 0.979021, 0.958763, 0.963855, 0.982955, 0.900000, 0.971223, 0.909091, 
5.0, 0.961111, 0.833333, 0.977876, 0.918367, 1.000000, 0.880952, 0.971223, 0.905983, 0.973958, 0.902439, 0.970027, 0.960486, 0.848485, 0.918519, 0.852941, 0.957929, 0.848485, 0.945455, 1.000000, 0.939024, 0.969925, 0.965035, 0.982906, 0.967213, 0.967366, 0.948454, 0.963855, 0.971591, 0.833333, 0.966427, 0.848485, 
6.0, 0.958889, 0.833333, 0.977876, 0.918367, 1.000000, 0.880952, 0.971223, 0.905983, 0.973958, 0.902439, 0.970027, 0.957447, 0.848485, 0.918519, 0.852941, 0.954693, 0.848485, 0.936364, 1.000000, 0.939024, 0.969925, 0.965035, 0.982906, 0.960656, 0.967366, 0.948454, 0.963855, 0.971591, 0.833333, 0.964029, 0.848485, 
7.0, 0.952222, 0.833333, 0.977876, 0.918367, 1.000000, 0.880952, 0.971223, 0.905983, 0.973958, 0.902439, 0.961853, 0.939210, 0.848485, 0.918519, 0.852941, 0.935275, 0.848485, 0.927273, 1.000000, 0.939024, 0.969925, 0.965035, 0.982906, 0.950820, 0.960373, 0.948454, 0.963855, 0.971591, 0.833333, 0.949640, 0.848485, 
8.0, 0.944444, 0.833333, 0.969027, 0.897959, 1.000000, 0.869048, 0.971223, 0.888889, 0.968750, 0.902439, 0.956403, 0.933131, 0.848485, 0.903704, 0.852941, 0.925566, 0.848485, 0.918182, 1.000000, 0.939024, 0.969925, 0.951049, 0.982906, 0.940984, 0.955711, 0.927835, 0.951807, 0.971591, 0.833333, 0.940048, 0.848485, 
9.0, 0.933333, 0.800000, 0.951327, 0.877551, 1.000000, 0.845238, 0.956835, 0.871795, 0.953125, 0.902439, 0.948229, 0.927052, 0.818182, 0.881481, 0.823529, 0.919094, 0.818182, 0.900000, 1.000000, 0.914634, 0.954887, 0.930070, 0.965812, 0.924590, 0.946387, 0.917526, 0.951807, 0.954545, 0.800000, 0.935252, 0.818182, 
10.0, 0.926667, 0.800000, 0.951327, 0.857143, 1.000000, 0.821429, 0.956835, 0.854701, 0.953125, 0.878049, 0.940054, 0.914894, 0.818182, 0.866667, 0.823529, 0.909385, 0.818182, 0.890909, 1.000000, 0.902439, 0.954887, 0.923077, 0.965812, 0.918033, 0.939394, 0.912371, 0.939759, 0.954545, 0.800000, 0.925659, 0.818182, 
