rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 2, 2, 0, 3.3333, 25.1111, 0.0000, 0.0000, 38.0000, 65.0000, -27.0000
r2, 2, 2, 0, 5.4444, 4.6667, 0.0000, 0.0000, 42.0000, 76.0000, -34.0000
r3, 3, 3, 0, 9.3333, 15.4444, 0.0000, 0.0000, 46.0000, 66.0000, -20.0000
r4, 2, 2, 0, 13.0000, 21.3333, 1.7778, 0.0001, 55.0000, 65.0000, -10.0000
r5, 2, 2, 0, 4.5556, 40.7778, 0.0000, 0.0046, 45.0000, 62.0000, -17.0000
r6, 2, 2, 0, 36.5556, 3.6667, 0.0000, 0.0039, 58.0000, 38.0000, 20.0000
r7, 2, 2, 0, 15.0000, 3.7778, 3.2222, 0.0653, 55.0000, 38.0000, 17.0000
r8, 2, 2, 0, 34.3333, 3.6667, 0.0000, 0.0023, 60.0000, 38.0000, 22.0000
r9, 2, 2, 0, 12.2222, 3.5556, 0.0000, 0.0008, 55.0000, 65.0000, -10.0000
r10, 3, 3, 0, 9.1111, 14.7778, 0.0000, 0.0001, 53.0000, 65.0000, -12.0000
r11, 3, 3, 0, 15.8889, 13.0000, 0.5556, 0.0002, 60.0000, 65.0000, -5.0000
r12, 2, 2, 0, 33.8889, 47.6667, 0.6667, 0.0420, 60.0000, 62.0000, -2.0000
r13, 2, 2, 0, 21.5556, 9.2222, 0.0000, 0.0258, 58.0000, 65.0000, -7.0000
r14, 2, 2, 0, 19.5556, 3.3333, 0.0000, 0.0000, 65.0000, 38.0000, 27.0000
r15, 2, 2, 0, 46.3333, 3.6667, 0.0000, 0.0015, 59.0000, 38.0000, 21.0000
