attribute,value
sysbp,"(-inf, 82.5>"
sysbp,"(82.5, 84.5>"
sysbp,"(84.5, 187.5>"
sysbp,"(187.5, 207.5>"
sysbp,"(207.5, 213.0>"
sysbp,"(213.0, 219.0>"
sysbp,"(219.0, inf)"
age,"(-inf, 57.5>"
age,"(57.5, 69.5>"
age,"(69.5, 71.5>"
age,"(71.5, 73.5>"
age,"(73.5, 75.5>"
age,"(75.5, 80.5>"
age,"(80.5, 81.5>"
age,"(81.5, 85.5>"
age,"(85.5, 93.5>"
age,"(93.5, 94.0>"
age,"(94.0, inf)"
diasbp,"(-inf, 15.5>"
diasbp,"(15.5, 24.0>"
diasbp,"(24.0, 49.0>"
diasbp,"(49.0, 89.5>"
diasbp,"(89.5, 94.5>"
diasbp,"(94.5, 95.5>"
diasbp,"(95.5, 112.5>"
diasbp,"(112.5, 116.5>"
diasbp,"(116.5, 132.5>"
diasbp,"(132.5, inf)"
bmi,"(-inf, 18.822625000000002>"
bmi,"(18.822625000000002, 19.341929999999998>"
bmi,"(19.341929999999998, 23.298195>"
bmi,"(23.298195, 25.595425>"
bmi,"(25.595425, 26.837195>"
bmi,"(26.837195, 28.826255>"
bmi,"(28.826255, 29.067965>"
bmi,"(29.067965, 29.550220000000003>"
bmi,"(29.550220000000003, 31.936239999999998>"
bmi,"(31.936239999999998, 43.8024>"
bmi,"(43.8024, inf)"
hr,"(-inf, 35.5>"
hr,"(35.5, 62.0>"
hr,"(62.0, 67.5>"
hr,"(67.5, 78.5>"
hr,"(78.5, 87.0>"
hr,"(87.0, 118.0>"
hr,"(118.0, 119.5>"
hr,"(119.5, 125.5>"
hr,"(125.5, 129.0>"
hr,"(129.0, 143.0>"
hr,"(143.0, inf)"
sho,"(-inf, 0.5>"
sho,"(0.5, inf)"
