id,distance,n_actions
0,0.045493,2
1,0.085846,2
2,0.084841,2
3,0.067293,2
4,0.061611,2
5,0.021104,1
6,0.036797,2
7,0.025180,2
8,0.023911,2
9,0.100727,2
10,0.036550,2
11,0.059176,2
12,0.031860,2
13,0.066288,2
14,0.029350,2
15,0.070346,2
16,0.052219,2
17,0.020524,1
18,0.058712,2
19,0.038884,2
20,0.061611,2
21,0.050595,2
22,0.032313,2
23,0.037877,2
24,0.061340,1
25,0.037951,2
26,0.044867,2
27,0.032081,2
28,0.031433,2
29,0.041873,2
30,0.053958,2
31,0.109423,2
32,0.064046,2
33,0.029957,2
34,0.012407,1
35,0.013915,1
36,0.056393,2
37,0.061379,2
38,0.008581,1
39,0.032506,2
40,0.005102,1
41,0.091798,2
42,0.036967,2
43,0.061418,2
44,0.068259,2
45,0.090175,2
46,0.034167,2
47,0.032163,2
48,0.088899,2
49,0.037104,2
50,0.099219,2
51,0.090909,1
52,0.093074,2
53,0.027746,2
54,0.036101,2
55,0.042246,2
56,0.071699,2
57,0.056857,2
58,0.030870,2
59,0.032970,2
60,0.015770,1
61,0.091914,2
62,0.030806,2
63,0.023771,1
64,0.026438,1
65,0.067293,2
66,0.079391,2
67,0.033993,2
68,0.070830,2
69,0.077883,2
70,0.006957,1
71,0.078695,2
72,0.070771,2
73,0.090986,2
74,0.059756,2
75,0.018553,1
76,0.090909,1
77,0.100843,2
78,0.090909,1
79,0.050827,2
80,0.035135,2
81,0.035057,2
82,0.113134,2
83,0.034825,2
84,0.028177,1
85,0.090909,1
86,0.034813,2
87,0.007157,2
88,0.032042,2
89,0.015306,1
90,0.034607,2
91,0.006270,1
92,0.032105,2
93,0.040855,2
94,0.034593,2
95,0.038072,2
96,0.040159,2
97,0.074521,2
98,0.036810,2
99,0.089131,2
100,0.087044,2
101,0.074250,2
102,0.035637,2
103,0.047159,2
104,0.083217,2
105,0.090909,1
106,0.086000,2
107,0.098755,2
108,0.051059,2
109,0.076917,2
110,0.035588,2
111,0.072318,2
112,0.069032,2
113,0.036797,2
114,0.012544,2
