attribute,value
Donorage,"(-inf, 19.476712>"
Donorage,"(19.476712, 20.709589>"
Donorage,"(20.709589, 46.828767>"
Donorage,"(46.828767, inf)"
CD34kgx10d6,"(-inf, 0.8049999999999999>"
CD34kgx10d6,"(0.8049999999999999, 1.2650000000000001>"
CD34kgx10d6,"(1.2650000000000001, 6.5600000000000005>"
CD34kgx10d6,"(6.5600000000000005, 7.1>"
CD34kgx10d6,"(7.1, 10.495000000000001>"
CD34kgx10d6,"(10.495000000000001, 11.684999999999999>"
CD34kgx10d6,"(11.684999999999999, 11.855>"
CD34kgx10d6,"(11.855, 14.0>"
CD34kgx10d6,"(14.0, 46.315>"
CD34kgx10d6,"(46.315, inf)"
Recipientage,"(-inf, 14.05>"
Recipientage,"(14.05, 20.15>"
Recipientage,"(20.15, inf)"
PLTrecovery,"(-inf, 13.5>"
PLTrecovery,"(13.5, 26.5>"
PLTrecovery,"(26.5, 500123.5>"
PLTrecovery,"(500123.5, inf)"
CD3dkgx10d8,"(-inf, 2.605>"
CD3dkgx10d8,"(2.605, 6.025>"
CD3dkgx10d8,"(6.025, inf)"
CD3dCD34,"(-inf, 1.5509265>"
CD3dCD34,"(1.5509265, 15.1081955>"
CD3dCD34,"(15.1081955, inf)"
Rbodymass,"(-inf, 10.6>"
Rbodymass,"(10.6, 31.9>"
Rbodymass,"(31.9, 36.5>"
Rbodymass,"(36.5, 55.1>"
Rbodymass,"(55.1, inf)"
extcGvHD,{1}
time_to_aGvHD_III_IV,"(-inf, 14.5>"
time_to_aGvHD_III_IV,"(14.5, 18.5>"
time_to_aGvHD_III_IV,"(18.5, inf)"
