id,survival_time,survival_status,pressureInd,moistureInd,temperatureInd
0,56.000000,1.000000,92.178854,104.230204,96.517159
1,80.000000,0.000000,72.075938,103.065701,87.271062
2,60.000000,1.000000,96.272254,77.801376,112.196170
3,80.000000,0.000000,94.406461,108.493608,72.025374
4,34.000000,1.000000,97.752899,99.413492,103.756271
5,30.000000,1.000000,87.678801,115.712262,89.792105
6,68.000000,1.000000,94.614174,85.702236,142.827001
7,65.000000,1.000000,96.483303,93.046797,98.316190
8,23.000000,1.000000,105.486158,118.291997,96.028822
9,80.000000,0.000000,99.178235,99.138717,95.492965
10,38.000000,1.000000,97.817844,111.074168,94.942443
11,29.000000,1.000000,67.812251,96.107846,122.371809
12,65.000000,1.000000,86.366111,92.561972,96.667950
13,80.000000,0.000000,103.107263,103.673197,79.504532
14,80.000000,1.000000,88.414079,97.362755,89.319813
15,48.000000,1.000000,84.355049,103.174919,102.399715
16,80.000000,1.000000,79.669255,95.926908,99.735635
17,80.000000,0.000000,84.179420,114.074066,83.627450
18,74.000000,1.000000,100.005923,103.502876,96.876035
19,65.000000,1.000000,115.607560,103.013573,101.616843
20,61.000000,1.000000,97.697189,101.884961,130.135676
21,35.000000,1.000000,101.415623,89.753746,114.909434
22,26.000000,1.000000,118.978697,105.298916,115.247085
23,63.000000,1.000000,102.112775,106.250695,92.315195
24,80.000000,0.000000,129.124338,103.344720,92.846359
25,79.000000,1.000000,109.033036,92.754120,124.760445
26,73.000000,1.000000,127.263954,103.557292,133.859669
27,60.000000,1.000000,138.191120,91.656269,101.925928
28,36.000000,1.000000,91.247132,93.037282,94.458397
29,80.000000,1.000000,81.555377,90.698894,97.026904
30,65.000000,1.000000,69.134595,81.980122,81.033925
31,74.000000,1.000000,54.735331,91.324433,91.424795
32,25.000000,1.000000,84.898646,84.867901,96.556052
33,58.000000,1.000000,94.152287,88.446659,135.744778
34,80.000000,1.000000,84.344066,103.377052,113.275459
35,65.000000,1.000000,95.753524,92.315808,95.327028
