rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 2, 2, 0, 3.3333, 30.5556, 0.0000, 0.0001, 40.0000, 65.0000, -25.0000
r2, 3, 3, 0, 3.3333, 27.1111, 0.0000, 0.0001, 34.0000, 65.0000, -31.0000
r3, 3, 3, 0, 3.7778, 5.1111, 0.0000, 0.0000, 44.0000, 74.0000, -30.0000
r4, 3, 3, 0, 7.2222, 5.4444, 0.0000, 0.0000, 46.0000, 77.0000, -31.0000
r5, 3, 3, 0, 10.7778, 5.4444, 0.0000, 0.0000, 53.0000, 77.0000, -24.0000
r6, 3, 3, 0, 12.8889, 5.6667, 0.0000, 0.0000, 54.0000, 77.0000, -23.0000
r7, 3, 3, 0, 14.3333, 5.4444, 0.0000, 0.0000, 53.0000, 77.0000, -24.0000
r8, 3, 3, 0, 21.4444, 5.4444, 0.0000, 0.0000, 55.0000, 77.0000, -22.0000
r9, 3, 3, 0, 25.2222, 5.6667, 0.0000, 0.0000, 55.0000, 77.0000, -22.0000
r10, 1, 1, 0, 30.3333, 14.0000, 0.0000, 0.0038, 59.0000, 65.0000, -6.0000
r11, 2, 2, 0, 31.7778, 5.5556, 0.1111, 0.0005, 59.0000, 74.0000, -15.0000
r12, 3, 3, 0, 4.6667, 7.4444, 0.0000, 0.0000, 34.0000, 74.0000, -40.0000
r13, 3, 3, 0, 34.8889, 5.3333, 0.0000, 0.0001, 58.0000, 74.0000, -16.0000
r14, 2, 2, 0, 6.3333, 30.6667, 0.0000, 0.0000, 48.0000, 65.0000, -17.0000
r15, 3, 3, 0, 10.7778, 11.2222, 0.0000, 0.0000, 46.0000, 72.0000, -26.0000
r16, 3, 3, 0, 23.8889, 8.8889, 0.0000, 0.0000, 51.0000, 74.0000, -23.0000
r17, 3, 3, 0, 29.1111, 20.8889, 0.0000, 0.0001, 55.0000, 65.0000, -10.0000
r18, 3, 3, 0, 36.3333, 20.8889, 0.0000, 0.0011, 59.0000, 65.0000, -6.0000
r19, 3, 3, 0, 8.1111, 16.2222, 0.0000, 0.0002, 52.0000, 66.0000, -14.0000
r20, 1, 1, 0, 48.2222, 14.0000, 0.3333, 0.0226, 60.0000, 65.0000, -5.0000
r21, 3, 3, 0, 20.0000, 4.6667, 0.0000, 0.0000, 65.0000, 47.0000, 18.0000
r22, 2, 2, 0, 27.7778, 37.3333, 0.0000, 0.0049, 65.0000, 60.0000, 5.0000
r23, 2, 2, 0, 31.1111, 37.3333, 0.0000, 0.0051, 65.0000, 60.0000, 5.0000
