time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, r23_l, r23_r, 
1.0, 0.995556, 1.000000, 1.000000, 0.966667, 1.000000, 0.970588, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995595, 1.000000, 0.992674, 1.000000, 0.993007, 1.000000, 0.976190, 1.000000, 0.990446, 1.000000, 0.964912, 1.000000, 1.000000, 1.000000, 0.990698, 1.000000, 0.992366, 1.000000, 0.990826, 1.000000, 1.000000, 1.000000, 0.993088, 1.000000, 1.000000, 1.000000, 1.000000, 0.994048, 1.000000, 0.994048, 
2.0, 0.983333, 0.966667, 1.000000, 0.933333, 0.991803, 0.970588, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.984496, 1.000000, 0.984456, 1.000000, 0.982379, 1.000000, 0.981685, 0.992063, 0.986014, 0.980000, 0.976190, 1.000000, 0.984076, 1.000000, 0.947368, 1.000000, 0.989691, 1.000000, 0.981395, 1.000000, 0.984733, 0.994681, 0.978593, 0.994681, 0.945205, 1.000000, 0.983871, 0.992063, 0.994444, 1.000000, 0.980000, 0.985119, 0.982143, 0.985119, 
3.0, 0.981111, 0.933333, 1.000000, 0.933333, 0.991803, 0.970588, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991379, 1.000000, 0.984496, 1.000000, 0.984456, 1.000000, 0.982379, 1.000000, 0.981685, 0.984127, 0.986014, 0.980000, 0.976190, 1.000000, 0.984076, 1.000000, 0.947368, 1.000000, 0.979381, 1.000000, 0.976744, 1.000000, 0.980916, 0.994681, 0.975535, 0.994681, 0.931507, 1.000000, 0.983871, 0.984127, 0.994444, 1.000000, 0.976000, 0.985119, 0.978571, 0.985119, 
4.0, 0.972222, 0.933333, 0.992727, 0.933333, 0.987705, 0.970588, 1.000000, 0.969231, 1.000000, 0.979381, 1.000000, 0.974138, 1.000000, 0.961240, 1.000000, 0.968912, 1.000000, 0.969163, 1.000000, 0.967033, 0.976190, 0.972028, 0.980000, 0.952381, 1.000000, 0.971338, 1.000000, 0.929825, 0.992754, 0.948454, 1.000000, 0.958140, 1.000000, 0.965649, 0.989362, 0.963303, 0.989362, 0.931507, 1.000000, 0.972350, 0.976190, 0.994444, 0.976190, 0.972000, 0.970238, 0.975000, 0.970238, 
5.0, 0.961111, 0.866667, 0.978182, 0.933333, 0.971311, 0.970588, 0.978261, 0.969231, 0.979592, 0.979381, 0.979592, 0.965517, 0.980392, 0.961240, 0.979592, 0.953368, 0.979592, 0.951542, 0.980392, 0.952381, 0.952381, 0.961538, 0.940000, 0.952381, 0.985075, 0.964968, 0.979167, 0.929825, 0.978261, 0.938144, 0.980198, 0.953488, 0.987500, 0.961832, 0.968085, 0.957187, 0.968085, 0.890411, 0.986301, 0.963134, 0.952381, 0.983333, 0.976190, 0.952000, 0.961310, 0.957143, 0.961310, 
6.0, 0.958889, 0.866667, 0.978182, 0.900000, 0.971311, 0.941176, 0.978261, 0.953846, 0.979592, 0.969072, 0.979592, 0.956897, 0.980392, 0.953488, 0.979592, 0.948187, 0.979592, 0.947137, 0.980392, 0.948718, 0.952381, 0.958042, 0.940000, 0.952381, 0.985075, 0.958599, 0.979167, 0.929825, 0.978261, 0.927835, 0.980198, 0.948837, 0.987500, 0.958015, 0.968085, 0.954128, 0.968085, 0.890411, 0.986301, 0.958525, 0.952381, 0.983333, 0.952381, 0.952000, 0.955357, 0.957143, 0.955357, 
7.0, 0.952222, 0.866667, 0.978182, 0.900000, 0.971311, 0.911765, 0.978261, 0.938462, 0.979592, 0.958763, 0.979592, 0.948276, 0.980392, 0.930233, 0.979592, 0.932642, 0.979592, 0.933921, 0.980392, 0.937729, 0.952381, 0.947552, 0.940000, 0.952381, 0.985075, 0.945860, 0.979167, 0.912281, 0.978261, 0.886598, 0.980198, 0.920930, 0.987500, 0.935115, 0.968085, 0.935780, 0.968085, 0.890411, 0.986301, 0.949309, 0.952381, 0.983333, 0.952381, 0.952000, 0.943452, 0.957143, 0.943452, 
8.0, 0.945556, 0.866667, 0.978182, 0.900000, 0.971311, 0.882353, 0.978261, 0.923077, 0.979592, 0.948454, 0.979592, 0.931034, 0.980392, 0.922481, 0.979592, 0.922280, 0.979592, 0.925110, 0.980392, 0.930403, 0.944444, 0.940559, 0.940000, 0.904762, 0.985075, 0.933121, 0.979167, 0.894737, 0.978261, 0.876289, 0.980198, 0.911628, 0.987500, 0.927481, 0.968085, 0.929664, 0.968085, 0.876712, 0.986301, 0.940092, 0.944444, 0.983333, 0.928571, 0.952000, 0.934524, 0.953571, 0.934524, 
9.0, 0.935556, 0.833333, 0.960000, 0.900000, 0.954918, 0.882353, 0.978261, 0.907692, 0.959184, 0.938144, 0.959184, 0.922414, 0.960784, 0.914729, 0.959184, 0.917098, 0.959184, 0.920705, 0.960784, 0.926740, 0.936508, 0.937063, 0.920000, 0.880952, 0.970149, 0.923567, 0.958333, 0.894737, 0.960145, 0.865979, 0.960396, 0.906977, 0.962500, 0.923664, 0.946809, 0.926606, 0.946809, 0.849315, 0.965753, 0.930876, 0.936508, 0.961111, 0.904762, 0.932000, 0.925595, 0.935714, 0.925595, 
10.0, 0.930000, 0.833333, 0.960000, 0.866667, 0.950820, 0.852941, 0.978261, 0.892308, 0.959184, 0.927835, 0.959184, 0.913793, 0.960784, 0.906977, 0.959184, 0.911917, 0.959184, 0.916300, 0.960784, 0.923077, 0.928571, 0.933566, 0.920000, 0.880952, 0.970149, 0.917197, 0.958333, 0.894737, 0.960145, 0.845361, 0.960396, 0.893023, 0.962500, 0.912214, 0.941489, 0.917431, 0.941489, 0.821918, 0.965753, 0.926267, 0.928571, 0.961111, 0.904762, 0.928000, 0.922619, 0.932143, 0.922619, 
