((FRAC, (FRAC, (0.566667, 0.736111>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (HC, (HC, (3.5, inf)) -> (HC, (-inf, 3.5>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (8.2, 11.5>) -> (BECK, (15.5, 36.375>)) AND (AGE, (AGE, (23.0, 42.0>) -> (AGE, (23.0, 42.0>)))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (37.5, 40.5>) -> (BECK, (15.5, 36.375>)))
((FRAC, (FRAC, (0.7416665, 0.8083335>) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
((FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.8083335, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (1.5, inf))) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))))
