attribute,value
CD34kgx10d6,"(-inf, 1.54>"
CD34kgx10d6,"(1.54, 7.15>"
CD34kgx10d6,"(7.15, 7.92>"
CD34kgx10d6,"(7.92, 7.9399999999999995>"
CD34kgx10d6,"(7.9399999999999995, 9.595>"
CD34kgx10d6,"(9.595, 9.75>"
CD34kgx10d6,"(9.75, 11.665>"
CD34kgx10d6,"(11.665, 11.855>"
CD34kgx10d6,"(11.855, 23.814999999999998>"
CD34kgx10d6,"(23.814999999999998, inf)"
Recipientage,"(-inf, 2.0>"
Recipientage,"(2.0, 14.05>"
Recipientage,"(14.05, 19.25>"
Recipientage,"(19.25, inf)"
Relapse,{0}
ANCrecovery,"(-inf, 10.5>"
ANCrecovery,"(10.5, inf)"
Donorage,"(-inf, 30.3958905>"
Donorage,"(30.3958905, 46.828767>"
Donorage,"(46.828767, inf)"
PLTrecovery,"(-inf, 26.0>"
PLTrecovery,"(26.0, 26.5>"
PLTrecovery,"(26.5, 27.5>"
PLTrecovery,"(27.5, 500056.0>"
PLTrecovery,"(500056.0, inf)"
