((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((albumin, (albumin, (3.135, 3.16>) -> (albumin, (4.03, 4.390000000000001>)))
((albumin, (albumin, (3.6950000000000003, 3.86>) -> (albumin, (4.03, 4.390000000000001>)))
((age, (age, (-inf, 41.0759755>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.95, 2.1500000000000004>) -> (bili, (9.2, inf))))
((age, (age, (-inf, 41.0759755>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.95, 2.1500000000000004>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.86, 4.03>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (66.7063655, 68.90486>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (2.3499999999999996, 9.2>) -> (bili, (9.2, inf))))
((age, (age, (41.0759755, 43.2402465>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((albumin, (albumin, (3.86, 4.03>) -> (albumin, (4.03, 4.390000000000001>)))
((albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (4.03, 4.390000000000001>)))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (2.3499999999999996, 9.2>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (41.0759755, 43.2402465>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.86, 4.03>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (43.2402465, 45.8097195>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (3.6950000000000003, 3.86>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (2.1500000000000004, 2.3499999999999996>) -> (bili, (9.2, inf))))
((albumin, (albumin, (-inf, 3.13>) -> (albumin, (3.6950000000000003, 3.86>)))
((albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (4.03, 4.390000000000001>)))
((age, (age, (66.7063655, 68.90486>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (-inf, 3.13>) -> (albumin, (3.6950000000000003, 3.86>)))
((albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (4.03, 4.390000000000001>)))
((age, (age, (-inf, 41.0759755>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (73.2197125, 74.67351149999999>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (-inf, 41.0759755>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (-inf, 41.0759755>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (-inf, 3.13>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (43.2402465, 45.8097195>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (-inf, 41.0759755>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (3.16, 3.6399999999999997>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (9.2, inf))))
((age, (age, (45.8097195, 65.381246>) -> (age, (-inf, 41.0759755>)) AND (albumin, (albumin, (-inf, 3.13>) -> (albumin, (3.6950000000000003, 3.86>)))
((age, (age, (45.8097195, 65.381246>) -> (age, (45.8097195, 65.381246>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (9.2, inf))))
