rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 1, 9.3851, 36.2460, 0.0000, 0.0000, 595.0000, 2659.0000, -2064.0000
r2, 4, 4, 0, 12.9450, 46.1165, 0.0000, 0.0000, 544.0000, 2659.0000, -2115.0000
r3, 3, 3, 0, 20.2265, 38.5113, 0.0000, 0.0000, 624.0000, 2659.0000, -2035.0000
r4, 2, 2, 0, 26.5372, 48.5437, 0.0000, 0.0000, 722.0000, 2659.0000, -1937.0000
r5, 3, 3, 0, 27.6699, 44.3366, 0.0000, 0.0000, 742.0000, 2659.0000, -1917.0000
r6, 3, 3, 0, 32.6861, 44.3366, 0.0000, 0.0000, 797.0000, 2659.0000, -1862.0000
r7, 2, 2, 0, 39.3204, 48.5437, 0.0000, 0.0000, 866.0000, 2659.0000, -1793.0000
r8, 4, 4, 1, 19.7411, 31.2298, 0.0000, 0.0000, 731.0000, 2659.0000, -1928.0000
r9, 4, 4, 1, 21.6828, 31.8770, 0.0000, 0.0000, 827.0000, 2659.0000, -1832.0000
r10, 3, 3, 0, 32.6861, 31.8770, 0.0000, 0.0000, 956.0000, 2659.0000, -1703.0000
r11, 3, 3, 1, 33.1715, 10.3560, 0.0000, 0.0000, 2659.0000, 595.0000, 2064.0000
r12, 2, 2, 1, 42.7184, 14.5631, 0.0000, 0.0000, 2659.0000, 747.0000, 1912.0000
r13, 4, 4, 2, 31.0680, 7.7670, 0.0000, 0.0000, 2659.0000, 515.0000, 2144.0000
