id,p
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,1.000000
6,0.447573
7,0.000000
8,1.000000
9,0.447573
10,0.006940
11,0.000370
12,0.447573
13,0.447573
14,0.020959
15,0.000000
16,0.000000
17,0.000000
18,0.447573
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000025
24,0.000000
25,0.447573
26,0.000000
27,0.002797
28,0.000000
29,0.000000
30,0.447573
31,0.000370
32,0.000000
33,0.447573
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,1.000000
42,0.020959
43,0.000000
44,0.447573
45,0.000000
46,0.000000
47,0.000000
48,0.006940
49,0.002797
50,0.020959
51,0.020959
52,0.000000
53,0.000025
54,0.000000
55,0.006940
56,0.000000
57,0.000000
58,0.000528
59,0.000000
60,0.000000
61,0.000000
62,0.020959
63,0.000000
64,0.002797
65,0.447573
66,0.000000
67,0.002797
68,0.000000
69,0.447573
70,0.000000
71,0.447573
72,0.000000
73,0.000000
74,0.020959
75,0.020959
76,0.000000
77,0.000000
78,0.002797
79,0.000000
80,0.447573
81,0.002797
82,0.000000
83,0.002797
84,1.000000
85,0.000370
86,0.000370
