attribute,value
age,"(-inf, 15.66>"
age,"(15.66, 18.625>"
age,"(18.625, 21.335>"
age,"(21.335, 29.310000000000002>"
age,"(29.310000000000002, 30.810000000000002>"
age,"(30.810000000000002, 31.965>"
age,"(31.965, 33.754999999999995>"
age,"(33.754999999999995, 34.05>"
age,"(34.05, 36.019999999999996>"
age,"(36.019999999999996, 36.315>"
age,"(36.315, 36.925>"
age,"(36.925, 38.5>"
age,"(38.5, 41.935>"
age,"(41.935, 44.525>"
age,"(44.525, 49.985>"
age,"(49.985, 54.615>"
age,"(54.615, inf)"
trtgiven,{RT}
extranod,{N}
