((thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (1.315, 1.69>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))))
((thick, (thick, (1.69, 2.02>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (1.315, 1.69>) -> (thick, (3.38, inf))) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (-inf, 1.315>)) AND (ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))))
((thick, (thick, (1.69, 2.02>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
