id,p
0,0.000946
1,0.000946
2,0.000946
3,0.001892
4,0.000213
5,0.000946
6,0.001892
7,0.000946
8,0.000946
9,0.001892
10,0.000946
11,0.000946
12,0.000096
13,0.001892
14,0.000946
15,0.001892
16,0.000594
17,0.001892
18,0.000946
19,0.001892
20,0.000946
21,0.000946
22,0.000946
23,0.000946
24,0.000946
25,0.001892
26,0.001892
27,0.000946
28,0.000946
29,0.000946
30,0.000946
31,0.000946
32,0.000946
33,0.000946
34,0.000946
35,0.000946
36,0.001892
37,0.000946
38,0.000946
39,0.001892
40,0.000457
41,0.000946
42,0.000946
43,0.000946
44,0.000946
45,0.000946
46,0.000946
47,0.001892
48,0.000213
49,0.000946
50,0.000946
51,0.000946
52,0.000946
53,0.000946
54,0.000946
55,0.000946
56,0.001892
57,0.000946
58,0.000946
59,0.000946
60,0.001892
61,0.000946
62,0.000946
63,0.000946
64,0.000457
65,0.000946
66,0.000946
67,0.001892
68,0.000946
69,0.000946
70,0.001892
71,0.001892
72,0.000946
73,0.001892
74,0.000096
75,0.000946
76,0.001892
77,0.000096
78,0.001892
79,0.000946
80,0.000594
81,0.000946
82,0.001892
83,0.001892
84,0.000946
85,0.000457
86,0.000946
87,0.000946
88,0.001892
89,0.000946
90,0.000946
91,0.000946
92,0.001892
93,0.000946
94,0.000457
95,0.000096
96,0.000946
97,0.001892
98,0.000946
99,0.000946
