attribute,value
OpSet1,"(-inf, 0.00335>"
OpSet1,"(0.00335, inf)"
SensorMeasure12,"(-inf, 522.565>"
SensorMeasure12,"(522.565, 522.6>"
SensorMeasure12,"(522.6, 522.615>"
SensorMeasure12,"(522.615, 524.96>"
SensorMeasure12,"(524.96, inf)"
SensorMeasure6,"(-inf, 21.605>"
SensorMeasure6,"(21.605, inf)"
SensorMeasure2,"(-inf, 642.335>"
SensorMeasure2,"(642.335, 642.8199999999999>"
SensorMeasure2,"(642.8199999999999, inf)"
SensorMeasure13,"(-inf, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, 2388.15>"
SensorMeasure13,"(2388.15, inf)"
OpSet2,"(-inf, -0.00045>"
OpSet2,"(-0.00045, inf)"
