time, entire-set, r1_l, r1_r, r2_l, r2_r, 
30.0, 0.988889, 1.000000, 0.966667, 0.972222, 1.000000, 
33.0, 0.977778, 1.000000, 0.933333, 0.944444, 1.000000, 
36.0, 0.966667, 1.000000, 0.933333, 0.944444, 1.000000, 
38.0, 0.955556, 1.000000, 0.900000, 0.916667, 1.000000, 
45.0, 0.944444, 1.000000, 0.866667, 0.888889, 1.000000, 
47.0, 0.933333, 1.000000, 0.833333, 0.861111, 1.000000, 
48.0, 0.922222, 1.000000, 0.800000, 0.833333, 1.000000, 
49.0, 0.911111, 1.000000, 0.800000, 0.833333, 0.966667, 
53.0, 0.888889, 1.000000, 0.800000, 0.833333, 0.966667, 
54.0, 0.877778, 1.000000, 0.800000, 0.805556, 0.966667, 
55.0, 0.866667, 1.000000, 0.800000, 0.805556, 0.933333, 
67.0, 0.844444, 1.000000, 0.766667, 0.777778, 0.933333, 
70.0, 0.833333, 0.966667, 0.766667, 0.777778, 0.933333, 
71.0, 0.822222, 0.966667, 0.766667, 0.777778, 0.900000, 
72.0, 0.800000, 0.933333, 0.733333, 0.750000, 0.866667, 
73.0, 0.788889, 0.900000, 0.733333, 0.750000, 0.833333, 
75.0, 0.777778, 0.900000, 0.700000, 0.722222, 0.833333, 
88.0, 0.766667, 0.900000, 0.666667, 0.694444, 0.833333, 
93.0, 0.755556, 0.900000, 0.633333, 0.666667, 0.833333, 
96.0, 0.733333, 0.833333, 0.633333, 0.666667, 0.800000, 
97.0, 0.722222, 0.833333, 0.600000, 0.638889, 0.800000, 
100.0, 0.711111, 0.833333, 0.566667, 0.611111, 0.800000, 
104.0, 0.700000, 0.833333, 0.566667, 0.611111, 0.800000, 
105.0, 0.688889, 0.833333, 0.566667, 0.583333, 0.800000, 
109.0, 0.677778, 0.833333, 0.566667, 0.583333, 0.800000, 
111.0, 0.666667, 0.833333, 0.533333, 0.555556, 0.800000, 
112.0, 0.644444, 0.833333, 0.500000, 0.527778, 0.800000, 
120.0, 0.633333, 0.833333, 0.500000, 0.527778, 0.800000, 
122.0, 0.622222, 0.833333, 0.500000, 0.527778, 0.800000, 
124.0, 0.611111, 0.833333, 0.500000, 0.527778, 0.800000, 
125.0, 0.588889, 0.800000, 0.500000, 0.527778, 0.766667, 
129.0, 0.577778, 0.800000, 0.466667, 0.500000, 0.766667, 
130.0, 0.566667, 0.766667, 0.466667, 0.500000, 0.733333, 
132.0, 0.522222, 0.700000, 0.400000, 0.444444, 0.666667, 
133.0, 0.511111, 0.666667, 0.400000, 0.444444, 0.633333, 
134.0, 0.500000, 0.666667, 0.400000, 0.444444, 0.633333, 
135.0, 0.488889, 0.666667, 0.366667, 0.416667, 0.633333, 
136.0, 0.477778, 0.633333, 0.366667, 0.416667, 0.600000, 
139.0, 0.466667, 0.633333, 0.366667, 0.388889, 0.600000, 
142.0, 0.455556, 0.633333, 0.333333, 0.361111, 0.600000, 
143.0, 0.444444, 0.633333, 0.300000, 0.333333, 0.600000, 
144.0, 0.433333, 0.600000, 0.300000, 0.333333, 0.566667, 
145.0, 0.411111, 0.566667, 0.300000, 0.305556, 0.533333, 
146.0, 0.388889, 0.533333, 0.300000, 0.305556, 0.500000, 
147.0, 0.377778, 0.533333, 0.300000, 0.305556, 0.500000, 
149.0, 0.366667, 0.533333, 0.266667, 0.277778, 0.500000, 
151.0, 0.344444, 0.500000, 0.233333, 0.250000, 0.466667, 
154.0, 0.333333, 0.500000, 0.200000, 0.222222, 0.466667, 
155.0, 0.322222, 0.500000, 0.200000, 0.222222, 0.466667, 
157.0, 0.311111, 0.500000, 0.166667, 0.194444, 0.466667, 
158.0, 0.300000, 0.466667, 0.166667, 0.194444, 0.433333, 
159.0, 0.288889, 0.466667, 0.133333, 0.166667, 0.433333, 
161.0, 0.266667, 0.400000, 0.133333, 0.166667, 0.366667, 
163.0, 0.255556, 0.400000, 0.100000, 0.138889, 0.366667, 
164.0, 0.244444, 0.366667, 0.100000, 0.138889, 0.333333, 
165.0, 0.233333, 0.366667, 0.100000, 0.111111, 0.333333, 
167.0, 0.222222, 0.366667, 0.100000, 0.083333, 0.333333, 
170.0, 0.211111, 0.366667, 0.100000, 0.083333, 0.333333, 
171.0, 0.188889, 0.366667, 0.066667, 0.055556, 0.333333, 

