((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (152.0, 195.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (44.5, 73.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (37.5, 44.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (-inf, 33.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (512.0, 2982.5>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (95.5, 152.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
((CPK, (CPK, (195.5, 512.0>) -> (CPK, (512.0, 2982.5>)) AND (SHO, (SHO, (-inf, 0.5>) -> (SHO, (0.5, inf))))
