((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (32.5, 47.0>) -> (tsize, (32.5, 47.0>)))
((tsize, (tsize, (32.5, 47.0>) -> (tsize, (-inf, 19.5>)) AND (progrec, (progrec, (132.5, 252.0>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)))
((age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (24.5, 41.5>) -> (progrec, (132.5, 252.0>)))
((estrec, (estrec, (-inf, 4.5>) -> (estrec, (-inf, 4.5>)) AND (tsize, (tsize, (-inf, 19.5>) -> (tsize, (20.5, 32.5>)) AND (progrec, (progrec, (9.5, 15.0>) -> (progrec, (-inf, 0.5>)))
((tsize, (tsize, (19.5, 20.5>) -> (tsize, (-inf, 19.5>)) AND (progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)))
((age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)) AND (progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)))
((age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)) AND (progrec, (progrec, (252.0, 827.0>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)) AND (progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)))
((tsize, (tsize, (-inf, 19.5>) -> (tsize, (-inf, 19.5>)) AND (progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)) AND (estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)))
