((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-inf, -3.0>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 55.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 55.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 55.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (53.5, 55.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (55.5, 66.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (40.5, 41.0>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (51.5, 53.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (agepill, (agepill, (51.5, 53.5>) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (46.5, 51.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (agepill, (agepill, (42.5, 46.5>) -> (agepill, (42.5, 46.5>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Normal}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-1.363636, -1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-3.0, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((agepill, (agepill, (51.5, 53.5>) -> (agepill, (42.5, 46.5>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-0.45454550000000005, -0.090909>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((basehist, (basehist, {Esophagitis}) -> (basehist, {Normal})) AND (stdagepill, (stdagepill, (-1.1818179999999998, -0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
