id,distance,n_actions
0,0.034021,1
1,0.034496,1
2,0.030948,1
3,0.029479,1
4,0.018437,1
5,0.033008,3
6,0.030051,2
7,0.026097,3
8,0.043736,3
9,0.025243,2
10,0.025835,1
11,0.024577,2
12,0.020259,1
13,0.013946,1
14,0.037096,2
15,0.048056,3
16,0.054177,3
17,0.040018,3
18,0.022836,2
19,0.017739,2
20,0.037752,1
21,0.027452,2
22,0.035818,1
23,0.040356,1
24,0.024583,1
25,0.031623,2
26,0.037278,3
27,0.033803,2
28,0.041443,3
29,0.023289,2
30,0.020448,2
31,0.049106,3
32,0.025680,1
33,0.022319,1
34,0.024363,1
35,0.037621,3
36,0.047428,3
37,0.017653,1
38,0.026462,2
39,0.029381,2
40,0.035476,2
41,0.026119,1
