attribute,value
albumin,"(-inf, 2.325>"
albumin,"(2.325, 3.135>"
albumin,"(3.135, 3.6399999999999997>"
albumin,"(3.6399999999999997, 3.96>"
albumin,"(3.96, 4.03>"
albumin,"(4.03, 4.04>"
albumin,"(4.04, 4.390000000000001>"
albumin,"(4.390000000000001, inf)"
bili,"(-inf, 1.35>"
bili,"(1.35, 1.75>"
bili,"(1.75, 2.1500000000000004>"
bili,"(2.1500000000000004, 6.45>"
bili,"(6.45, inf)"
age,"(-inf, 36.039699>"
age,"(36.039699, 38.881588>"
age,"(38.881588, 41.379876499999995>"
age,"(41.379876499999995, 42.926762499999995>"
age,"(42.926762499999995, 43.2402465>"
age,"(43.2402465, 67.4537985>"
age,"(67.4537985, 69.1731695>"
age,"(69.1731695, 72.23271700000001>"
age,"(72.23271700000001, inf)"
protime,"(-inf, 9.55>"
protime,"(9.55, 10.350000000000001>"
protime,"(10.350000000000001, 11.25>"
protime,"(11.25, inf)"
edema,"(-inf, 0.75>"
edema,"(0.75, inf)"
