rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 8, 7, 4, 19.0114, 8.6185, 0.0000, 0.0000, 1482.0000, 297.0000, 1185.0000
r2, 7, 6, 2, 19.5184, 6.8441, 0.0000, 0.0000, 1519.0000, 250.0000, 1269.0000
r3, 7, 4, 1, 26.4892, 27.7567, 0.0000, 0.0000, 1519.0000, 377.0000, 1142.0000
r4, 3, 3, 1, 26.8695, 7.4778, 0.0000, 0.0000, 1519.0000, 307.0000, 1212.0000
r5, 9, 5, 4, 4.8162, 33.2066, 0.0000, 0.0000, 223.0000, 789.0000, -566.0000
r6, 7, 5, 3, 8.2383, 26.7427, 0.0000, 0.0000, 251.0000, 1482.0000, -1231.0000
r7, 8, 5, 3, 9.5057, 29.1508, 0.0000, 0.0000, 274.0000, 869.0000, -595.0000
r8, 7, 5, 4, 16.0963, 46.0076, 0.0000, 0.0000, 360.0000, 846.0000, -486.0000
r9, 8, 6, 5, 17.3638, 27.8834, 0.0000, 0.0000, 353.0000, 1207.0000, -854.0000
r10, 1, 1, 0, 30.5450, 57.2877, 0.0000, 0.0001, 458.0000, 846.0000, -388.0000
r11, 5, 3, 0, 23.8276, 44.9937, 0.0000, 0.0000, 390.0000, 1138.0000, -748.0000
r12, 2, 1, 0, 42.2053, 54.4994, 0.0000, 0.0001, 474.0000, 846.0000, -372.0000
r13, 6, 6, 5, 27.7567, 32.8264, 0.0000, 0.0000, 377.0000, 1207.0000, -830.0000
r14, 4, 3, 0, 10.0127, 5.1965, 0.0000, 0.0000, 1425.0000, 250.0000, 1175.0000
r15, 5, 3, 2, 33.0798, 4.8162, 0.0000, 0.0000, 869.0000, 289.0000, 580.0000
r16, 2, 2, 1, 38.5298, 5.8302, 0.0000, 0.0000, 869.0000, 360.0000, 509.0000
