time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, 
1.0, 0.996198, 1.000000, 0.985294, 1.000000, 0.981481, 1.000000, 0.995434, 1.000000, 0.983051, 1.000000, 0.992366, 0.984615, 1.000000, 1.000000, 0.995652, 0.992126, 0.997245, 0.992701, 1.000000, 0.995851, 0.997788, 0.989362, 0.997183, 0.993994, 0.997674, 0.995434, 1.000000, 1.000000, 0.975610, 0.996169, 0.973684, 0.996711, 0.978261, 
2.0, 0.994919, 1.000000, 0.985294, 1.000000, 0.981481, 1.000000, 0.990847, 1.000000, 0.983051, 1.000000, 0.992366, 0.984615, 1.000000, 1.000000, 0.995652, 0.992126, 0.994467, 0.992701, 1.000000, 0.995851, 0.995560, 0.989362, 0.994342, 0.993994, 0.995332, 0.990847, 1.000000, 1.000000, 0.975610, 0.992322, 0.973684, 0.993410, 0.978261, 
3.0, 0.985933, 1.000000, 0.970588, 1.000000, 0.962963, 0.995192, 0.977085, 0.995215, 0.983051, 1.000000, 0.988505, 0.984615, 0.985646, 0.986667, 0.991227, 0.976378, 0.994467, 0.985401, 0.986239, 0.979114, 0.991076, 0.973231, 0.991493, 0.978795, 0.990615, 0.977085, 0.988281, 1.000000, 0.926829, 0.988476, 0.973684, 0.986765, 0.978261, 
4.0, 0.980771, 1.000000, 0.955656, 1.000000, 0.944081, 0.990385, 0.967867, 0.995215, 0.965804, 0.972973, 0.980782, 0.968987, 0.980861, 0.972963, 0.982337, 0.968375, 0.988865, 0.970694, 0.981651, 0.970673, 0.986581, 0.967794, 0.988644, 0.972659, 0.985887, 0.967867, 0.984375, 1.000000, 0.902439, 0.984630, 0.947368, 0.983443, 0.956522, 
5.0, 0.974275, 0.993243, 0.955656, 0.993377, 0.944081, 0.985553, 0.958561, 0.990431, 0.965804, 0.972973, 0.969106, 0.968987, 0.976077, 0.972963, 0.968880, 0.968375, 0.977596, 0.963227, 0.977043, 0.966397, 0.977551, 0.967794, 0.977181, 0.969561, 0.976384, 0.958561, 0.980453, 1.000000, 0.902439, 0.973000, 0.947368, 0.973408, 0.956522, 
6.0, 0.974275, 0.993243, 0.955656, 0.993377, 0.944081, 0.985553, 0.958561, 0.990431, 0.965804, 0.972973, 0.969106, 0.968987, 0.976077, 0.972963, 0.968880, 0.968375, 0.977596, 0.963227, 0.977043, 0.966397, 0.977551, 0.967794, 0.977181, 0.969561, 0.976384, 0.958561, 0.980453, 1.000000, 0.902439, 0.973000, 0.947368, 0.973408, 0.956522, 
7.0, 0.971628, 0.993243, 0.955656, 0.993377, 0.944081, 0.985553, 0.953839, 0.985576, 0.965804, 0.972973, 0.969106, 0.968987, 0.976077, 0.972963, 0.968880, 0.968375, 0.971845, 0.963227, 0.977043, 0.966397, 0.972929, 0.967794, 0.974256, 0.969561, 0.971539, 0.953839, 0.976484, 1.000000, 0.902439, 0.969045, 0.947368, 0.966528, 0.956522, 
8.0, 0.968977, 0.993243, 0.955656, 0.993377, 0.944081, 0.985553, 0.949117, 0.985576, 0.965804, 0.972973, 0.965151, 0.968987, 0.976077, 0.972963, 0.964310, 0.968375, 0.966094, 0.963227, 0.977043, 0.966397, 0.968296, 0.967794, 0.971330, 0.969561, 0.966681, 0.949117, 0.976484, 1.000000, 0.902439, 0.969045, 0.947368, 0.963077, 0.956522, 
9.0, 0.964989, 0.993243, 0.955656, 0.993377, 0.944081, 0.985553, 0.944395, 0.985576, 0.948244, 0.972973, 0.961163, 0.968987, 0.976077, 0.958862, 0.964310, 0.960168, 0.966094, 0.948177, 0.977043, 0.957768, 0.968296, 0.951203, 0.971330, 0.960148, 0.966681, 0.944395, 0.976484, 1.000000, 0.902439, 0.969045, 0.921053, 0.963077, 0.934277, 
10.0, 0.962327, 0.993243, 0.955656, 0.993377, 0.944081, 0.980650, 0.944395, 0.985576, 0.948244, 0.972973, 0.957174, 0.968987, 0.971220, 0.958862, 0.959718, 0.960168, 0.963202, 0.948177, 0.972368, 0.953454, 0.965963, 0.951203, 0.968378, 0.957010, 0.964234, 0.944395, 0.972465, 1.000000, 0.902439, 0.969045, 0.921053, 0.963077, 0.912032, 
