attribute,value
BECK,"(-inf, 12.079>"
BECK,"(12.079, 15.5>"
BECK,"(15.5, 35.5>"
BECK,"(35.5, 36.375>"
BECK,"(36.375, 45.9>"
BECK,"(45.9, 48.5>"
BECK,"(48.5, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
FRAC,"(-inf, 0.1277775>"
FRAC,"(0.1277775, 0.3416665>"
FRAC,"(0.3416665, 0.566667>"
FRAC,"(0.566667, 0.6166665>"
FRAC,"(0.6166665, 0.7277775>"
FRAC,"(0.7277775, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.7555555>"
FRAC,"(0.7555555, 0.7694445>"
FRAC,"(0.7694445, 0.7944445>"
FRAC,"(0.7944445, inf)"
AGE,"(-inf, 21.5>"
AGE,"(21.5, 22.5>"
AGE,"(22.5, 42.0>"
AGE,"(42.0, 44.5>"
AGE,"(44.5, 45.5>"
AGE,"(45.5, inf)"
HC,"(-inf, 3.5>"
HC,"(3.5, inf)"
ND2,"(-inf, 0.28203100000000003>"
ND2,"(0.28203100000000003, 0.361679>"
ND2,"(0.361679, inf)"
