((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (82.5, 93.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (20.5, 21.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (82.5, 93.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (4.5, 5.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (72.0, 82.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (20.5, 21.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (-inf, 4.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (72.0, 82.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (72.0, 82.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (82.5, 93.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (82.5, 93.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (20.5, 21.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (72.0, 82.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (122.5, 124.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (133.0, inf)) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (5.5, 6.75>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (47.0, 72.0>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (6.75, 8.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (11.5, 20.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (8.5, 11.5>) -> (priorzdv, (72.0, 82.5>)))
((priorzdv, (priorzdv, (21.5, 47.0>) -> (priorzdv, (72.0, 82.5>)))
