((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1129.4299999999998>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1048.9699999999998>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.935>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.935>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.935>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1129.4299999999998>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.935>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1048.9699999999998>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (8085.76, inf)) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1127.985, 1129.4299999999998>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.935>) -> (SensorMeasure4, (1048.9699999999998, 1127.935>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8085.76>) -> (SensorMeasure14, (-inf, 8085.76>)))
