attribute,value
SensorMeasure6,"(-inf, 5.715>"
SensorMeasure6,"(5.715, inf)"
SensorMeasure4,"(-inf, 1048.9699999999998>"
SensorMeasure4,"(1048.9699999999998, 1127.935>"
SensorMeasure4,"(1127.935, 1127.985>"
SensorMeasure4,"(1127.985, 1129.4299999999998>"
SensorMeasure4,"(1129.4299999999998, inf)"
SensorMeasure2,"(-inf, 556.0699999999999>"
SensorMeasure2,"(556.0699999999999, 607.2>"
SensorMeasure2,"(607.2, inf)"
SensorMeasure14,"(-inf, 8085.76>"
SensorMeasure14,"(8085.76, inf)"
SensorMeasure3,"(-inf, 1256.98>"
SensorMeasure3,"(1256.98, 1257.25>"
SensorMeasure3,"(1257.25, 1352.8600000000001>"
SensorMeasure3,"(1352.8600000000001, 1478.85>"
SensorMeasure3,"(1478.85, 1479.81>"
SensorMeasure3,"(1479.81, 1479.975>"
SensorMeasure3,"(1479.975, 1584.4299999999998>"
SensorMeasure3,"(1584.4299999999998, inf)"
SensorMeasure20,"(-inf, 14.105>"
SensorMeasure20,"(14.105, 14.915>"
SensorMeasure20,"(14.915, 14.97>"
SensorMeasure20,"(14.97, 14.975000000000001>"
SensorMeasure20,"(14.975000000000001, 24.564999999999998>"
SensorMeasure20,"(24.564999999999998, 38.894999999999996>"
SensorMeasure20,"(38.894999999999996, inf)"
SensorMeasure15,"(-inf, 8.432749999999999>"
SensorMeasure15,"(8.432749999999999, 9.26385>"
SensorMeasure15,"(9.26385, 10.886>"
SensorMeasure15,"(10.886, 10.889949999999999>"
SensorMeasure15,"(10.889949999999999, inf)"
OpSet2,"(-inf, 0.2505>"
OpSet2,"(0.2505, 0.62165>"
OpSet2,"(0.62165, inf)"
SensorMeasure12,"(-inf, 129.905>"
SensorMeasure12,"(129.905, 372.33000000000004>"
SensorMeasure12,"(372.33000000000004, inf)"
SensorMeasure21,"(-inf, 6.2734000000000005>"
SensorMeasure21,"(6.2734000000000005, 14.647400000000001>"
SensorMeasure21,"(14.647400000000001, inf)"
SensorMeasure8,"(-inf, 2324.01>"
SensorMeasure8,"(2324.01, inf)"
OpSet1,"(-inf, 0.00015000000000000001>"
OpSet1,"(0.00015000000000000001, 25.00775>"
OpSet1,"(25.00775, inf)"
