time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
0.002738, 0.954825, 0.989011, 0.890756, 0.975610, 0.894309, 0.974026, 0.894309, 0.980861, 0.894309, 0.820000, 0.989691, 0.913043, 0.989011, 0.918552, 0.989011, 0.980952, 0.894309, 
0.150582, 0.952772, 0.978022, 0.890756, 0.967480, 0.894309, 0.967532, 0.894309, 0.976077, 0.894309, 0.820000, 0.979381, 0.913043, 0.978022, 0.918552, 0.978022, 0.980952, 0.894309, 
0.186174, 0.950719, 0.978022, 0.890756, 0.967480, 0.894309, 0.967532, 0.894309, 0.976077, 0.894309, 0.820000, 0.979381, 0.907609, 0.978022, 0.914027, 0.978022, 0.980952, 0.894309, 
0.199863, 0.948665, 0.978022, 0.890756, 0.967480, 0.894309, 0.961039, 0.894309, 0.971292, 0.894309, 0.820000, 0.979381, 0.907609, 0.978022, 0.914027, 0.978022, 0.980952, 0.894309, 
0.238193, 0.944559, 0.978022, 0.882353, 0.967480, 0.886179, 0.961039, 0.886179, 0.966507, 0.886179, 0.800000, 0.979381, 0.902174, 0.978022, 0.909502, 0.978022, 0.980952, 0.886179, 
0.240931, 0.942505, 0.978022, 0.882353, 0.967480, 0.886179, 0.961039, 0.886179, 0.966507, 0.886179, 0.780000, 0.979381, 0.896739, 0.978022, 0.904977, 0.978022, 0.980952, 0.886179, 
0.303901, 0.940452, 0.978022, 0.873950, 0.967480, 0.878049, 0.961039, 0.878049, 0.966507, 0.878049, 0.760000, 0.979381, 0.891304, 0.978022, 0.900452, 0.978022, 0.980952, 0.878049, 
0.33128, 0.938398, 0.978022, 0.865546, 0.967480, 0.869919, 0.961039, 0.869919, 0.966507, 0.869919, 0.740000, 0.979381, 0.885870, 0.978022, 0.895928, 0.978022, 0.980952, 0.869919, 
0.344969, 0.936345, 0.978022, 0.865546, 0.967480, 0.869919, 0.961039, 0.869919, 0.966507, 0.869919, 0.740000, 0.979381, 0.885870, 0.978022, 0.895928, 0.978022, 0.980952, 0.869919, 
0.364134, 0.934292, 0.967033, 0.865546, 0.959350, 0.869919, 0.954545, 0.869919, 0.961722, 0.869919, 0.740000, 0.969072, 0.885870, 0.967033, 0.895928, 0.967033, 0.980952, 0.869919, 
