((SensorMeasure2, (SensorMeasure2, (-inf, 549.4200000000001>) -> (SensorMeasure2, (604.29, 607.29>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure2, (SensorMeasure2, (604.29, 607.29>) -> (SensorMeasure2, (604.29, 607.29>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((OpSet1, (OpSet1, (10.00085, 24.999200000000002>) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)))
((OpSet1, (OpSet1, (24.999200000000002, inf)) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)))
((SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
((OpSet1, (OpSet1, (24.999200000000002, inf)) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
((SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.889999999999>) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
((OpSet1, (OpSet1, (24.999200000000002, inf)) -> (OpSet1, (10.00085, 24.999200000000002>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, 21.564999999999998>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.1499999999996>)))
((SensorMeasure2, (SensorMeasure2, (604.29, 607.29>) -> (SensorMeasure2, (604.29, 607.29>)) AND (SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8082.889999999999>) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
((SensorMeasure2, (SensorMeasure2, (604.29, 607.29>) -> (SensorMeasure2, (604.29, 607.29>)) AND (SensorMeasure4, (SensorMeasure4, (1124.92, 1240.615>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (9.024999999999999, 13.645>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.4200000000001>) -> (SensorMeasure2, (604.29, 607.29>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1124.92>) -> (SensorMeasure4, (1240.615, inf))) AND (SensorMeasure6, (SensorMeasure6, (9.015, 9.024999999999999>) -> (SensorMeasure6, (13.645, 21.564999999999998>)))
((SensorMeasure4, (SensorMeasure4, (1240.615, inf)) -> (SensorMeasure4, (1124.92, 1240.615>)) AND (SensorMeasure14, (SensorMeasure14, (8082.889999999999, inf)) -> (SensorMeasure14, (-inf, 8082.889999999999>)))
