id,left,right
0,9,39
1,123,21
2,33,41
3,47,25
4,22,25
5,22,25
6,39,41
7,23,41
8,23,41
9,120,41
10,34,39
11,39,41
12,33,41
13,3,25
14,13,25
15,120,41
16,22,25
17,6,25
18,33,41
19,18,41
20,39,41
21,125,41
22,15,39
23,47,25
24,67,44
25,34,41
26,39,41
27,33,41
28,120,41
29,39,41
30,33,41
31,15,39
32,105,25
33,123,21
34,47,25
35,39,41
36,33,41
37,71,21
38,123,21
39,9,39
40,18,41
41,4,44
42,166,21
43,8,39
44,39,41
45,125,41
46,9,39
47,3,25
48,28,39
49,120,41
50,2,25
51,71,21
52,65,25
53,125,41
54,15,39
55,166,21
56,23,41
57,137,21
58,8,39
59,166,21
60,166,21
61,137,21
62,125,41
63,15,39
64,28,39
65,120,41
66,8,39
67,166,21
68,51,21
69,123,21
70,166,21
71,71,21
72,39,41
73,34,39
74,31,41
75,33,41
76,120,41
77,14,39
78,166,21
79,120,41
80,166,21
81,71,21
82,166,21
83,125,41
84,9,25
85,15,39
86,125,41
87,51,21
88,137,21
89,34,41
90,166,21
91,47,25
92,125,41
93,71,21
94,137,21
95,166,21
96,71,21
97,166,21
98,166,21
99,51,21
100,51,21
101,166,21
102,166,21
103,51,21
