((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (18.75, 57.8>) -> (age, (18.75, 57.8>)) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (18.75, 57.8>) -> (age, (66.95, inf))) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 57.8>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 57.8>)) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((age, (age, (18.75, 57.8>) -> (age, (63.55, 66.95>)))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (58.25, 60.5>) -> (age, (18.75, 57.8>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (18.75, 57.8>) -> (age, (66.95, inf))) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (18.75, 57.8>) -> (age, (66.95, inf))) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (58.25, 60.5>) -> (age, (18.75, 57.8>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (66.95, inf)) -> (age, (18.75, 57.8>)) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (age, (age, (18.75, 57.8>) -> (age, (66.95, inf))) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (age, (age, (18.75, 57.8>) -> (age, (66.95, inf))) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (63.55, 66.95>) -> (age, (18.75, 57.8>)) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
((clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)) AND (age, (age, (58.25, 60.5>) -> (age, (18.75, 57.8>)) AND (hgb, (hgb, (-inf, 164.0>) -> (hgb, (-inf, 164.0>)))
