time, entire-set, r1_l, r1_r, r2_l, r2_r, 
37.0, 0.988889, 1.000000, 1.000000, 0.968750, 1.000000, 
40.0, 0.977778, 1.000000, 1.000000, 0.937500, 1.000000, 
46.0, 0.966667, 1.000000, 1.000000, 0.906250, 1.000000, 
49.0, 0.955556, 1.000000, 0.974359, 0.875000, 1.000000, 
55.0, 0.933333, 1.000000, 0.923077, 0.812500, 1.000000, 
63.0, 0.922222, 1.000000, 0.897436, 0.781250, 1.000000, 
64.0, 0.911111, 1.000000, 0.871795, 0.750000, 1.000000, 
67.0, 0.900000, 1.000000, 0.846154, 0.750000, 0.969697, 
69.0, 0.888889, 1.000000, 0.846154, 0.750000, 0.969697, 
75.0, 0.877778, 1.000000, 0.820513, 0.750000, 0.969697, 
77.0, 0.866667, 0.966667, 0.820513, 0.750000, 0.969697, 
78.0, 0.855556, 0.966667, 0.820513, 0.750000, 0.969697, 
83.0, 0.844444, 0.966667, 0.794872, 0.718750, 0.969697, 
84.0, 0.833333, 0.966667, 0.794872, 0.687500, 0.969697, 
86.0, 0.822222, 0.966667, 0.769231, 0.656250, 0.969697, 
87.0, 0.811111, 0.966667, 0.769231, 0.656250, 0.969697, 
88.0, 0.800000, 0.966667, 0.743590, 0.625000, 0.969697, 
89.0, 0.788889, 0.966667, 0.743590, 0.625000, 0.939394, 
94.0, 0.777778, 0.966667, 0.717949, 0.593750, 0.939394, 
100.0, 0.766667, 0.966667, 0.717949, 0.593750, 0.939394, 
103.0, 0.755556, 0.966667, 0.717949, 0.562500, 0.939394, 
104.0, 0.733333, 0.966667, 0.666667, 0.531250, 0.909091, 
107.0, 0.722222, 0.966667, 0.641026, 0.500000, 0.909091, 
108.0, 0.711111, 0.966667, 0.615385, 0.500000, 0.878788, 
111.0, 0.688889, 0.966667, 0.589744, 0.468750, 0.848485, 
117.0, 0.666667, 0.966667, 0.564103, 0.437500, 0.848485, 
118.0, 0.644444, 0.966667, 0.512821, 0.406250, 0.818182, 
119.0, 0.622222, 0.966667, 0.487179, 0.375000, 0.818182, 
121.0, 0.611111, 0.966667, 0.461538, 0.375000, 0.818182, 
123.0, 0.600000, 0.966667, 0.435897, 0.343750, 0.818182, 
129.0, 0.588889, 0.966667, 0.410256, 0.343750, 0.787879, 
130.0, 0.577778, 0.966667, 0.384615, 0.343750, 0.757576, 
132.0, 0.555556, 0.933333, 0.358974, 0.312500, 0.727273, 
136.0, 0.544444, 0.933333, 0.358974, 0.312500, 0.696970, 
137.0, 0.533333, 0.900000, 0.358974, 0.312500, 0.696970, 
143.0, 0.522222, 0.866667, 0.358974, 0.312500, 0.666667, 
145.0, 0.500000, 0.866667, 0.358974, 0.281250, 0.666667, 
146.0, 0.488889, 0.866667, 0.333333, 0.250000, 0.666667, 
148.0, 0.477778, 0.866667, 0.307692, 0.250000, 0.666667, 
151.0, 0.466667, 0.866667, 0.282051, 0.250000, 0.636364, 
157.0, 0.433333, 0.833333, 0.230769, 0.187500, 0.636364, 
161.0, 0.422222, 0.833333, 0.230769, 0.156250, 0.636364, 
167.0, 0.411111, 0.833333, 0.205128, 0.125000, 0.636364, 
168.0, 0.388889, 0.833333, 0.153846, 0.093750, 0.636364, 
169.0, 0.377778, 0.833333, 0.128205, 0.093750, 0.636364, 
178.0, 0.366667, 0.833333, 0.102564, 0.093750, 0.636364, 
179.0, 0.355556, 0.833333, 0.102564, 0.093750, 0.606061, 
181.0, 0.344444, 0.833333, 0.076923, 0.062500, 0.606061, 
185.0, 0.333333, 0.800000, 0.076923, 0.031250, 0.606061, 
187.0, 0.322222, 0.766667, 0.076923, 0.031250, 0.606061, 
190.0, 0.311111, 0.733333, 0.076923, 0.031250, 0.575758, 
191.0, 0.300000, 0.733333, 0.051282, 0.031250, 0.575758, 
193.0, 0.288889, 0.700000, 0.051282, 0.031250, 0.545455, 
202.0, 0.277778, 0.700000, 0.025641, 0.000000, 0.545455, 
205.0, 0.266667, 0.700000, 0.000000, 0.000000, 0.515152, 
206.0, 0.255556, 0.666667, 0.000000, 0.000000, 0.484848, 
210.0, 0.244444, 0.666667, 0.000000, 0.000000, 0.484848, 
212.0, 0.233333, 0.633333, 0.000000, 0.000000, 0.454545, 
217.0, 0.222222, 0.633333, 0.000000, 0.000000, 0.424242, 
223.0, 0.211111, 0.600000, 0.000000, 0.000000, 0.393939, 
229.0, 0.200000, 0.566667, 0.000000, 0.000000, 0.363636, 

