((SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1480.31, 1488.27>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1574.12, inf)) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1480.31, 1488.27>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure3, (SensorMeasure3, (1356.685, 1479.62>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (548.665, 555.265>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8082.344999999999>) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1340.755>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 536.38>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1488.27, 1574.12>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (555.265, 603.915>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure3, (SensorMeasure3, (1340.755, 1356.685>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (536.38, 548.665>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1574.12, inf)) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1574.12, inf)) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure3, (SensorMeasure3, (1356.685, 1479.62>) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (555.265, 603.915>) -> (SensorMeasure2, (604.29, inf))))
((SensorMeasure14, (SensorMeasure14, (8082.885, inf)) -> (SensorMeasure14, (8082.885, inf))) AND (SensorMeasure3, (SensorMeasure3, (1574.12, inf)) -> (SensorMeasure3, (1488.27, 1574.12>)) AND (SensorMeasure2, (SensorMeasure2, (604.29, inf)) -> (SensorMeasure2, (604.29, inf))))
