attribute,value
OpSet1,"(-inf, -0.00275>"
OpSet1,"(-0.00275, -0.0026>"
OpSet1,"(-0.0026, 0.00185>"
OpSet1,"(0.00185, 0.0037>"
OpSet1,"(0.0037, inf)"
SensorMeasure9,"(-inf, 9056.135>"
SensorMeasure9,"(9056.135, 9057.105>"
SensorMeasure9,"(9057.105, inf)"
SensorMeasure14,"(-inf, 8136.87>"
SensorMeasure14,"(8136.87, 8137.825000000001>"
SensorMeasure14,"(8137.825000000001, inf)"
SensorMeasure2,"(-inf, 642.01>"
SensorMeasure2,"(642.01, inf)"
SensorMeasure21,"(-inf, 23.26375>"
SensorMeasure21,"(23.26375, 23.498649999999998>"
SensorMeasure21,"(23.498649999999998, inf)"
SensorMeasure15,"(-inf, 8.35665>"
SensorMeasure15,"(8.35665, 8.3951>"
SensorMeasure15,"(8.3951, inf)"
