id,left,right
0,1,22
1,50,23
2,51,23
3,73,21
4,73,21
5,98,21
6,0,21
7,73,21
8,24,21
9,39,21
10,7,21
11,10,23
12,67,21
13,39,21
14,22,23
15,259,23
16,39,21
17,24,21
18,51,21
19,51,21
20,114,23
21,82,61
22,39,21
23,5,21
24,30,21
25,73,21
26,73,21
27,39,21
28,73,21
29,51,21
30,24,21
31,17,21
32,23,21
33,10,21
34,57,22
35,3,23
36,84,22
37,259,23
38,23,21
39,259,23
40,1,23
41,57,22
42,73,21
43,50,23
44,259,23
45,39,21
46,3,21
47,6,23
48,1,21
49,73,21
50,259,23
51,41,22
52,8,21
53,2,22
54,24,21
55,10,21
56,259,23
