attribute,value
SensorMeasure21,"(-inf, 6.4201>"
SensorMeasure21,"(6.4201, 8.5838>"
SensorMeasure21,"(8.5838, inf)"
SensorMeasure6,"(-inf, 5.715>"
SensorMeasure6,"(5.715, inf)"
SensorMeasure2,"(-inf, 536.8199999999999>"
SensorMeasure2,"(536.8199999999999, 543.0550000000001>"
SensorMeasure2,"(543.0550000000001, 549.2>"
SensorMeasure2,"(549.2, 555.4>"
SensorMeasure2,"(555.4, 604.98>"
SensorMeasure2,"(604.98, 642.835>"
SensorMeasure2,"(642.835, inf)"
SensorMeasure4,"(-inf, 1127.985>"
SensorMeasure4,"(1127.985, 1128.135>"
SensorMeasure4,"(1128.135, inf)"
SensorMeasure15,"(-inf, 8.6212>"
SensorMeasure15,"(8.6212, 9.259899999999998>"
SensorMeasure15,"(9.259899999999998, inf)"
SensorMeasure14,"(-inf, 8053.455>"
SensorMeasure14,"(8053.455, 8064.91>"
SensorMeasure14,"(8064.91, 8087.645>"
SensorMeasure14,"(8087.645, inf)"
SensorMeasure3,"(-inf, 1257.25>"
SensorMeasure3,"(1257.25, 1352.8600000000001>"
SensorMeasure3,"(1352.8600000000001, 1477.0900000000001>"
SensorMeasure3,"(1477.0900000000001, 1479.565>"
SensorMeasure3,"(1479.565, inf)"
OpSet1,"(-inf, 35.0059>"
OpSet1,"(35.0059, 42.00625>"
OpSet1,"(42.00625, inf)"
SensorMeasure20,"(-inf, 14.995000000000001>"
SensorMeasure20,"(14.995000000000001, 24.59>"
SensorMeasure20,"(24.59, 38.894999999999996>"
SensorMeasure20,"(38.894999999999996, inf)"
SensorMeasure7,"(-inf, 138.0>"
SensorMeasure7,"(138.0, 335.675>"
SensorMeasure7,"(335.675, inf)"
SensorMeasure13,"(-inf, 2028.355>"
SensorMeasure13,"(2028.355, 2388.035>"
SensorMeasure13,"(2388.035, 2388.175>"
SensorMeasure13,"(2388.175, 2388.1800000000003>"
SensorMeasure13,"(2388.1800000000003, inf)"
