((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 18.950000000000003>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((PLTrecovery, (PLTrecovery, (500142.5, inf)) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.395, 11.885>) -> (CD34kgx10d6, (11.885, 41.515>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (14.05, 18.950000000000003>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 18.950000000000003>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((CD3dkgx10d8, (CD3dkgx10d8, (-inf, 2.605>) -> (CD3dkgx10d8, (6.025, inf))) AND (Donorage, (Donorage, (20.709589, 46.828767>) -> (Donorage, (20.709589, 46.828767>)) AND (PLTrecovery, (PLTrecovery, (26.5, 500123.5>) -> (PLTrecovery, (13.5, 26.5>)) AND (time_to_aGvHD_III_IV, (time_to_aGvHD_III_IV, (18.5, inf)) -> (time_to_aGvHD_III_IV, (18.5, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 10.6>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (55.1, inf)) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((CD3dkgx10d8, (CD3dkgx10d8, (-inf, 2.605>) -> (CD3dkgx10d8, (6.025, inf))) AND (PLTrecovery, (PLTrecovery, (500123.5, inf)) -> (PLTrecovery, (13.5, 26.5>)) AND (time_to_aGvHD_III_IV, (time_to_aGvHD_III_IV, (18.5, inf)) -> (time_to_aGvHD_III_IV, (18.5, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (55.1, inf)) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((CD3dkgx10d8, (CD3dkgx10d8, (6.025, inf)) -> (CD3dkgx10d8, (6.025, inf))) AND (Donorage, (Donorage, (20.709589, 46.828767>) -> (Donorage, (20.709589, 46.828767>)) AND (PLTrecovery, (PLTrecovery, (500123.5, inf)) -> (PLTrecovery, (13.5, 26.5>)) AND (time_to_aGvHD_III_IV, (time_to_aGvHD_III_IV, (18.5, inf)) -> (time_to_aGvHD_III_IV, (18.5, inf))))
