((thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.315>)) AND (age, (age, (52.5, 63.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {present}) -> (ulcer, {present})))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (age, (age, (42.5, 52.5>) -> (age, (13.0, 42.5>)))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (age, (age, (75.5, inf)) -> (age, (13.0, 42.5>)))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (age, (age, (13.0, 42.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (1.315, 1.69>) -> (thick, (-inf, 1.315>)) AND (age, (age, (52.5, 63.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (-inf, 0.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (1.69, 2.02>) -> (thick, (-inf, 1.315>)) AND (age, (age, (75.5, inf)) -> (age, (13.0, 42.5>)))
((thick, (thick, (1.315, 1.69>) -> (thick, (3.38, inf))))
((ici, (ici, (0.5, 1.5>) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.315>)) AND (age, (age, (63.5, 75.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
((thick, (thick, (-inf, 1.315>) -> (thick, (-inf, 1.315>)) AND (age, (age, (52.5, 63.5>) -> (age, (13.0, 42.5>)))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (1.69, 2.02>) -> (thick, (3.38, inf))))
((ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))) AND (thick, (thick, (-inf, 1.315>) -> (thick, (3.38, inf))))
