attribute,value
SensorMeasure2,"(-inf, 537.115>"
SensorMeasure2,"(537.115, 549.4200000000001>"
SensorMeasure2,"(549.4200000000001, 604.52>"
SensorMeasure2,"(604.52, 642.34>"
SensorMeasure2,"(642.34, inf)"
SensorMeasure13,"(-inf, 2387.325>"
SensorMeasure13,"(2387.325, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, 2388.1499999999996>"
SensorMeasure13,"(2388.1499999999996, inf)"
SensorMeasure3,"(-inf, 1349.645>"
SensorMeasure3,"(1349.645, 1477.9899999999998>"
SensorMeasure3,"(1477.9899999999998, 1479.555>"
SensorMeasure3,"(1479.555, 1573.6399999999999>"
SensorMeasure3,"(1573.6399999999999, inf)"
SensorMeasure11,"(-inf, 41.96>"
SensorMeasure11,"(41.96, 44.295>"
SensorMeasure11,"(44.295, 47.22>"
SensorMeasure11,"(47.22, 47.615>"
SensorMeasure11,"(47.615, inf)"
SensorMeasure8,"(-inf, 2211.815>"
SensorMeasure8,"(2211.815, 2318.875>"
SensorMeasure8,"(2318.875, inf)"
SensorMeasure9,"(-inf, 8341.57>"
SensorMeasure9,"(8341.57, 9056.695>"
SensorMeasure9,"(9056.695, inf)"
SensorMeasure17,"(-inf, 393.5>"
SensorMeasure17,"(393.5, inf)"
SensorMeasure21,"(-inf, 8.6689>"
SensorMeasure21,"(8.6689, 23.49055>"
SensorMeasure21,"(23.49055, inf)"
SensorMeasure6,"(-inf, 9.015>"
SensorMeasure6,"(9.015, 9.024999999999999>"
SensorMeasure6,"(9.024999999999999, 13.645>"
SensorMeasure6,"(13.645, 21.564999999999998>"
SensorMeasure6,"(21.564999999999998, inf)"
SensorMeasure14,"(-inf, 8075.75>"
SensorMeasure14,"(8075.75, 8081.785>"
SensorMeasure14,"(8081.785, 8082.735000000001>"
SensorMeasure14,"(8082.735000000001, inf)"
SensorMeasure15,"(-inf, 8.6211>"
SensorMeasure15,"(8.6211, 10.88985>"
SensorMeasure15,"(10.88985, inf)"
