((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.7944445, inf))) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (36.375, 45.9>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (36.375, 45.9>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.6166665, 0.7277775>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (0.7944445, inf))))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((HC, (HC, (3.5, inf)) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.7944445, inf))))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.566667, 0.6166665>) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (FRAC, (FRAC, (0.6166665, 0.7277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (42.0, 44.5>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.7944445, inf))) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (-inf, 0.1277775>)))
((ND2, (ND2, (-inf, 0.28203100000000003>) -> (ND2, (-inf, 0.28203100000000003>)) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (12.079, 15.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
