id,left,right
0,21,21
1,120,20
2,23,20
3,6,20
4,21,21
5,6,22
6,120,20
7,90,22
8,22,20
9,86,20
10,90,22
11,112,21
12,44,20
13,127,22
14,8,33
15,9,20
16,86,20
17,90,22
18,127,22
19,86,20
20,16,27
21,86,20
22,13,20
23,120,20
24,16,27
25,86,20
26,38,20
27,1,20
28,7,27
29,127,22
30,90,22
31,5,21
32,120,20
33,132,20
34,127,22
35,79,21
36,120,20
37,9,20
38,189,33
39,90,22
40,29,21
41,120,20
42,9,22
43,38,20
44,120,20
45,16,27
46,29,22
47,189,33
48,27,20
49,70,33
50,112,21
51,90,22
52,112,21
53,127,22
54,4,22
55,29,22
56,48,21
