((age, (age, (52.5, 63.5>) -> (age, (70.5, inf))))
((thick, (thick, (3.38, 13.77>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (2.17, 2.8200000000000003>) -> (thick, (0.89, 1.315>)))
((age, (age, (63.5, 70.5>) -> (age, (70.5, inf))))
((thick, (thick, (3.38, 13.77>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (13.77, inf)) -> (thick, (0.89, 1.315>)))
((ici, (ici, (0.5, inf)) -> (ici, (0.5, inf))) AND (thick, (thick, (0.89, 1.315>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (2.8200000000000003, 3.38>) -> (thick, (0.89, 1.315>)))
((ici, (ici, (-inf, 0.5>) -> (ici, (0.5, inf))) AND (thick, (thick, (1.315, 2.02>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (3.38, 13.77>) -> (thick, (0.89, 1.315>)))
((age, (age, (23.0, 42.5>) -> (age, (70.5, inf))))
((thick, (thick, (1.315, 2.02>) -> (thick, (0.89, 1.315>)))
((ici, (ici, (0.5, inf)) -> (ici, (0.5, inf))) AND (thick, (thick, (1.315, 2.02>) -> (thick, (0.89, 1.315>)))
((ici, (ici, (0.5, inf)) -> (ici, (0.5, inf))) AND (thick, (thick, (1.315, 2.02>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (2.8200000000000003, 3.38>) -> (thick, (0.89, 1.315>)))
((thick, (thick, (2.17, 2.8200000000000003>) -> (thick, (0.89, 1.315>)))
((age, (age, (42.5, 52.5>) -> (age, (70.5, inf))))
((age, (age, (23.0, 42.5>) -> (age, (70.5, inf))))
((thick, (thick, (3.38, 13.77>) -> (thick, (0.89, 1.315>)))
((age, (age, (23.0, 42.5>) -> (age, (70.5, inf))))
((thick, (thick, (3.38, 13.77>) -> (thick, (0.89, 1.315>)))
