time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, 
1.0, 0.994444, 1.000000, 1.000000, 0.990826, 1.000000, 1.000000, 1.000000, 0.991489, 1.000000, 0.995851, 1.000000, 0.993243, 1.000000, 0.990798, 1.000000, 1.000000, 0.974359, 1.000000, 0.974359, 0.993333, 1.000000, 0.991870, 1.000000, 1.000000, 0.976744, 1.000000, 0.974359, 1.000000, 0.975000, 1.000000, 0.982143, 0.994186, 0.980000, 0.996914, 0.990164, 0.994723, 0.991501, 1.000000, 1.000000, 0.993994, 1.000000, 0.993289, 0.996960, 0.995086, 0.990164, 
2.0, 0.983333, 0.986667, 1.000000, 0.981651, 0.992188, 0.993289, 0.992188, 0.987234, 0.992958, 0.987552, 0.986207, 0.986486, 0.979275, 0.984663, 0.993750, 1.000000, 0.974359, 1.000000, 0.974359, 0.986667, 0.993506, 0.983740, 1.000000, 1.000000, 0.976744, 1.000000, 0.974359, 0.991266, 0.975000, 0.984293, 0.982143, 0.988372, 0.980000, 0.981481, 0.983607, 0.981530, 0.983003, 0.992188, 1.000000, 0.984985, 0.993590, 0.984340, 0.981763, 0.982801, 0.983607, 
3.0, 0.981111, 0.986667, 1.000000, 0.981651, 0.992188, 0.993289, 0.992188, 0.982979, 0.992958, 0.987552, 0.986207, 0.983108, 0.974093, 0.981595, 0.993750, 1.000000, 0.974359, 1.000000, 0.974359, 0.986667, 0.993506, 0.981030, 1.000000, 1.000000, 0.976744, 1.000000, 0.974359, 0.991266, 0.975000, 0.984293, 0.982143, 0.988372, 0.980000, 0.978395, 0.980328, 0.978892, 0.980170, 0.992188, 1.000000, 0.984985, 0.993590, 0.982103, 0.978723, 0.980344, 0.980328, 
4.0, 0.973333, 0.946667, 1.000000, 0.954128, 0.992188, 0.966443, 0.992188, 0.965957, 0.992958, 0.970954, 0.986207, 0.969595, 0.968912, 0.969325, 0.993750, 1.000000, 0.974359, 1.000000, 0.974359, 0.973333, 0.993506, 0.970190, 1.000000, 0.994565, 0.976744, 0.995146, 0.974359, 0.986900, 0.975000, 0.984293, 0.964286, 0.982558, 0.960000, 0.972222, 0.967213, 0.970976, 0.968839, 0.988281, 1.000000, 0.972973, 0.993590, 0.973154, 0.969605, 0.975430, 0.967213, 
5.0, 0.963333, 0.933333, 0.988235, 0.944954, 0.968750, 0.959732, 0.968750, 0.961702, 0.964789, 0.962656, 0.958621, 0.962838, 0.943005, 0.963190, 0.975000, 0.991667, 0.974359, 0.986207, 0.974359, 0.966667, 0.967532, 0.964770, 0.987805, 0.983696, 0.976744, 0.980583, 0.974359, 0.973799, 0.975000, 0.958115, 0.964286, 0.959302, 0.960000, 0.953704, 0.963934, 0.952507, 0.963173, 0.964844, 0.973684, 0.966967, 0.974359, 0.968680, 0.951368, 0.958231, 0.963934, 
6.0, 0.961111, 0.933333, 0.988235, 0.944954, 0.968750, 0.959732, 0.968750, 0.961702, 0.964789, 0.962656, 0.958621, 0.962838, 0.943005, 0.960123, 0.975000, 0.991667, 0.974359, 0.986207, 0.974359, 0.966667, 0.967532, 0.962060, 0.987805, 0.983696, 0.976744, 0.980583, 0.974359, 0.973799, 0.975000, 0.958115, 0.964286, 0.959302, 0.960000, 0.953704, 0.960656, 0.952507, 0.960340, 0.964844, 0.973684, 0.966967, 0.974359, 0.966443, 0.951368, 0.958231, 0.960656, 
7.0, 0.955556, 0.893333, 0.988235, 0.917431, 0.968750, 0.932886, 0.968750, 0.944681, 0.964789, 0.946058, 0.958621, 0.949324, 0.943005, 0.944785, 0.975000, 0.991667, 0.948718, 0.986207, 0.948718, 0.953333, 0.967532, 0.948509, 0.987805, 0.983696, 0.953488, 0.980583, 0.948718, 0.973799, 0.950000, 0.958115, 0.946429, 0.959302, 0.940000, 0.953704, 0.944262, 0.952507, 0.946176, 0.964844, 0.947368, 0.954955, 0.974359, 0.955257, 0.951368, 0.958231, 0.944262, 
8.0, 0.946667, 0.880000, 0.976471, 0.908257, 0.960938, 0.926174, 0.960938, 0.931915, 0.957746, 0.933610, 0.951724, 0.939189, 0.937824, 0.935583, 0.968750, 0.991667, 0.923077, 0.979310, 0.923077, 0.943333, 0.961039, 0.937669, 0.981707, 0.978261, 0.930233, 0.970874, 0.923077, 0.965066, 0.925000, 0.947644, 0.928571, 0.953488, 0.920000, 0.947531, 0.934426, 0.944591, 0.937677, 0.960938, 0.947368, 0.942943, 0.967949, 0.944072, 0.945289, 0.950860, 0.934426, 
9.0, 0.938889, 0.880000, 0.964706, 0.908257, 0.953125, 0.919463, 0.953125, 0.927660, 0.943662, 0.929461, 0.937931, 0.935811, 0.927461, 0.932515, 0.956250, 0.983333, 0.897436, 0.965517, 0.897436, 0.940000, 0.948052, 0.934959, 0.969512, 0.967391, 0.906977, 0.956311, 0.897436, 0.951965, 0.900000, 0.931937, 0.910714, 0.936047, 0.900000, 0.935185, 0.931148, 0.934037, 0.934844, 0.949219, 0.947368, 0.942943, 0.955128, 0.941834, 0.936170, 0.936118, 0.931148, 
10.0, 0.932222, 0.853333, 0.964706, 0.880734, 0.945313, 0.906040, 0.945313, 0.914894, 0.936620, 0.912863, 0.931034, 0.922297, 0.922280, 0.920245, 0.956250, 0.983333, 0.897436, 0.965517, 0.897436, 0.926667, 0.941558, 0.924119, 0.969512, 0.967391, 0.906977, 0.951456, 0.897436, 0.947598, 0.900000, 0.926702, 0.910714, 0.930233, 0.900000, 0.929012, 0.921311, 0.928760, 0.923513, 0.945313, 0.921053, 0.930931, 0.955128, 0.932886, 0.930091, 0.931204, 0.921311, 
