id,left,right
0,76,26
1,24,26
2,284,26
3,10,26
4,76,24
5,284,26
6,284,26
7,24,26
8,107,53
9,105,26
10,227,26
11,148,24
12,284,24
13,227,24
14,148,24
15,5,24
16,148,24
17,227,26
18,612,53
19,26,26
20,93,24
21,284,24
22,105,24
23,227,26
24,284,26
25,10,26
26,148,26
27,20,53
28,227,24
29,612,53
30,105,26
31,93,26
32,227,26
33,9,26
34,105,26
35,93,26
36,284,26
37,284,26
38,227,26
39,148,26
40,26,26
41,93,24
42,10,53
43,284,26
44,105,24
45,284,26
46,227,24
47,227,24
48,148,24
49,227,26
50,148,26
51,148,26
52,105,26
53,284,26
54,284,26
55,107,53
56,284,24
57,93,26
58,107,53
59,148,24
60,76,26
61,26,26
62,88,53
63,227,26
64,284,26
65,24,24
66,76,26
67,148,26
68,148,24
69,227,26
70,227,24
71,105,24
72,284,26
73,105,26
74,612,53
75,148,24
76,24,24
77,10,24
78,284,24
79,76,24
80,93,24
81,148,24
82,148,26
83,227,24
84,105,26
85,284,26
86,76,24
87,284,26
88,284,24
89,26,26
90,284,26
91,93,24
92,93,24
93,227,26
94,148,26
95,284,26
96,227,26
97,93,24
98,93,26
99,148,26
100,0,24
101,8,24
102,76,24
103,148,26
104,284,26
105,105,26
106,148,26
107,227,26
108,76,26
109,76,26
110,93,26
111,53,53
112,227,26
113,76,26
114,284,24
