time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, 
0.003, 0.967866, 0.944444, 0.977823, 0.928058, 0.977867, 0.939227, 0.977867, 0.949074, 0.978000, 0.946809, 0.977867, 0.949640, 0.978000, 0.952991, 0.977925, 1.000000, 0.978571, 0.975543, 0.944444, 0.988764, 0.978723, 
0.1, 0.966581, 0.944444, 0.977823, 0.928058, 0.977867, 0.939227, 0.977867, 0.944444, 0.978000, 0.946809, 0.977867, 0.946043, 0.978000, 0.952991, 0.977925, 1.000000, 0.978571, 0.975543, 0.944444, 0.988764, 0.978723, 
0.2, 0.962725, 0.935185, 0.975806, 0.920863, 0.975855, 0.933702, 0.975855, 0.939815, 0.976000, 0.941489, 0.975855, 0.938849, 0.976000, 0.944444, 0.975717, 1.000000, 0.971429, 0.972826, 0.935185, 0.988764, 0.978723, 
0.3, 0.958869, 0.935185, 0.971774, 0.913669, 0.971831, 0.928177, 0.971831, 0.935185, 0.972000, 0.936170, 0.971831, 0.935252, 0.972000, 0.940171, 0.971302, 1.000000, 0.971429, 0.970109, 0.935185, 0.988764, 0.978723, 
0.4, 0.952442, 0.898148, 0.969758, 0.884892, 0.969819, 0.906077, 0.969819, 0.916667, 0.970000, 0.914894, 0.969819, 0.920863, 0.970000, 0.923077, 0.969095, 1.000000, 0.971429, 0.967391, 0.898148, 0.988764, 0.978723, 
0.5, 0.943445, 0.879630, 0.967742, 0.863309, 0.967807, 0.883978, 0.967807, 0.898148, 0.966000, 0.888298, 0.967807, 0.902878, 0.966000, 0.897436, 0.966887, 1.000000, 0.971429, 0.964674, 0.879630, 0.988764, 0.978723, 
0.6, 0.935733, 0.870370, 0.961694, 0.856115, 0.961771, 0.878453, 0.961771, 0.893519, 0.960000, 0.877660, 0.961771, 0.892086, 0.960000, 0.884615, 0.960265, 1.000000, 0.971429, 0.956522, 0.870370, 0.988764, 0.978723, 
0.7, 0.924165, 0.842593, 0.953629, 0.834532, 0.953722, 0.856354, 0.953722, 0.875000, 0.952000, 0.851064, 0.953722, 0.874101, 0.952000, 0.858974, 0.953642, 0.975000, 0.964286, 0.951087, 0.842593, 0.966292, 0.978723, 
0.8, 0.908740, 0.842593, 0.935484, 0.834532, 0.935614, 0.845304, 0.935614, 0.861111, 0.934000, 0.840426, 0.935614, 0.863309, 0.934000, 0.846154, 0.935982, 0.900000, 0.957143, 0.940217, 0.842593, 0.921348, 0.957447, 
0.9, 0.901028, 0.842593, 0.929435, 0.827338, 0.929577, 0.834254, 0.929577, 0.851852, 0.928000, 0.829787, 0.929577, 0.852518, 0.928000, 0.837607, 0.929360, 0.900000, 0.942857, 0.932065, 0.842593, 0.921348, 0.914894, 
