rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 1, 1, 0, 13.8817, 63.7532, 0.0000, 0.0000, 4.1000, 33.0000, -28.9000
r2, 1, 1, 0, 17.8663, 63.8817, 0.0000, 0.0000, 5.6000, 33.0000, -27.4000
r3, 1, 1, 0, 23.2648, 63.8817, 0.0000, 0.0000, 6.4000, 33.0000, -26.6000
r4, 1, 1, 0, 27.7635, 64.2674, 0.0000, 0.0000, 6.9000, 33.0000, -26.1000
r5, 2, 2, 1, 24.1645, 63.8817, 0.0000, 0.0000, 6.0000, 33.0000, -27.0000
r6, 1, 1, 0, 35.7326, 64.2674, 0.0000, 0.0000, 8.9000, 33.0000, -24.1000
r7, 2, 2, 1, 30.0771, 58.2262, 0.0000, 0.0000, 7.1000, 33.0000, -25.9000
r8, 2, 2, 1, 5.1414, 17.9949, 0.0000, 0.0085, 18.2000, 32.7000, -14.5000
r9, 1, 1, 0, 47.3008, 13.8817, 0.0000, 0.0000, 33.0000, 4.1000, 28.9000
r10, 2, 1, 0, 11.4396, 6.0411, 0.0000, 0.1069, 22.9000, 31.2000, -8.3000
