rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 3, 3, 0, 3.4444, 3.8889, 0.0000, 0.0000, 38.0000, 78.0000, -40.0000
r2, 3, 3, 0, 10.2222, 4.8889, 0.0000, 0.0000, 45.0000, 74.0000, -29.0000
r3, 3, 3, 0, 21.5556, 15.4444, 0.0000, 0.0000, 51.0000, 67.0000, -16.0000
r4, 3, 3, 0, 24.5556, 15.4444, 0.0000, 0.0000, 54.0000, 67.0000, -13.0000
r5, 3, 3, 0, 24.3333, 7.6667, 0.0000, 0.0001, 55.0000, 72.0000, -17.0000
r6, 2, 2, 0, 31.5556, 21.3333, 0.0000, 0.0045, 55.0000, 65.0000, -10.0000
r7, 3, 3, 0, 20.5556, 9.3333, 0.0000, 0.0000, 55.0000, 74.0000, -19.0000
r8, 1, 1, 0, 37.2222, 11.3333, 0.0000, 0.0015, 57.0000, 72.0000, -15.0000
r9, 3, 3, 0, 32.4444, 7.6667, 0.0000, 0.0003, 56.0000, 72.0000, -16.0000
r10, 3, 3, 0, 4.5556, 4.2222, 0.0000, 0.0000, 80.0000, 46.0000, 34.0000
r11, 3, 3, 0, 8.5556, 3.5556, 0.0000, 0.0000, 74.0000, 42.0000, 32.0000
r12, 3, 3, 0, 13.0000, 4.2222, 0.0000, 0.0000, 72.0000, 49.0000, 23.0000
r13, 3, 3, 0, 3.3333, 15.3333, 2.0000, 0.0060, 42.0000, 65.0000, -23.0000
r14, 3, 3, 0, 8.0000, 5.6667, 0.0000, 0.0000, 74.0000, 50.0000, 24.0000
r15, 2, 2, 0, 17.4444, 9.5556, 0.0000, 0.0000, 67.0000, 55.0000, 12.0000
r16, 3, 3, 0, 16.5556, 5.6667, 0.0000, 0.0000, 67.0000, 50.0000, 17.0000
r17, 3, 3, 0, 24.6667, 4.2222, 0.0000, 0.0000, 65.0000, 49.0000, 16.0000
r18, 3, 3, 0, 20.4444, 3.3333, 0.0000, 0.0000, 65.0000, 36.0000, 29.0000
r19, 3, 3, 0, 26.2222, 5.6667, 0.0000, 0.0000, 65.0000, 50.0000, 15.0000
r20, 2, 2, 0, 34.7778, 6.6667, 0.0000, 0.0000, 65.0000, 50.0000, 15.0000
r21, 3, 3, 0, 26.3333, 20.1111, 0.0000, 0.0026, 56.0000, 65.0000, -9.0000
r22, 2, 2, 0, 45.7778, 3.4444, 0.0000, 0.0168, 57.0000, 74.0000, -17.0000
r23, 1, 1, 0, 47.6667, 6.0000, 6.0000, 0.0718, 62.0000, 51.0000, 11.0000
