id,distance,n_actions
0,0.050103,2
1,0.041082,2
2,0.044226,2
3,0.021510,1
4,0.046775,2
5,0.038038,2
6,0.006804,1
7,0.006585,1
8,0.046796,2
9,0.051419,2
10,0.014486,1
11,0.015145,1
12,0.045083,2
13,0.042406,2
14,0.044367,2
15,0.017833,2
16,0.039121,2
17,0.005487,1
18,0.044126,2
19,0.032119,2
20,0.012730,1
21,0.052765,2
22,0.012511,1
23,0.041337,2
24,0.034943,2
25,0.010097,1
26,0.045366,2
27,0.041571,2
28,0.031681,2
29,0.041535,2
30,0.014706,1
31,0.034647,2
32,0.031165,2
33,0.004170,1
34,0.040855,2
35,0.033450,2
36,0.007682,1
37,0.008121,1
38,0.014047,1
39,0.032295,2
40,0.033435,2
41,0.041953,2
